axis	disease	placement	grade	confidence	primary_evidence_ids	contradiction_ids	compartment_summary	causality_summary	selection_bias_risk	notes	placement_score
axis_03_microbiome	rheumatoid arthritis	intermediate	provisional	low	V8_axis_03_microbiome_rheumatoid_arthritis		gut microbiome	literature_review;mechanistic_animal	high	RA microbiome evidence may be mechanistically real but points to gut-joint/Prevotella/oral pathogen routes rather than the MS gut-brain pattern.	1.0
axis_03_microbiome	ulcerative colitis	near	provisional	medium	V8_axis_03_microbiome_ulcerative_colitis		gut microbiome	longitudinal;treatment_perturbation	high	Microbiome proximity is stronger for gut-barrier biology than for CNS lesion biology.	2.0
axis_04_lipid_lysosomal	Crohn disease	intermediate	provisional	medium	V8_axis_04_lipid_lysosomal_Crohn_disease_1;V8_axis_04_lipid_lysosomal_Crohn_disease_2		colon epithelial; colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	1.0
axis_04_lipid_lysosomal	Sjogren syndrome	far	supported	medium	V8_axis_04_lipid_lysosomal_Sjogren_syndrome_1;V8_axis_04_lipid_lysosomal_Sjogren_syndrome_2		salivary gland APC; salivary gland epithelial	cross_sectional	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	0.0
axis_04_lipid_lysosomal	rheumatoid arthritis	far	provisional	low	V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1;V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2		blood myeloid/APC	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	0.0
axis_04_lipid_lysosomal	ulcerative colitis	near	provisional	medium	V8_axis_04_lipid_lysosomal_ulcerative_colitis_1;V8_axis_04_lipid_lysosomal_ulcerative_colitis_2		colon myeloid	cross_sectional	high	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	2.0
axis_05_complement_innate	Crohn disease	intermediate	provisional	low	V8_axis_05_complement_innate_Crohn_disease_12		intestinal mucosa	literature	high	Not upgraded without disease-specific complement statistics.	1.0
axis_05_complement_innate	Sjogren syndrome	unresolved	provisional	low	V8_axis_05_complement_innate_Sjogren_syndrome_40		none	none	high	Unresolved, not far.	
axis_05_complement_innate	rheumatoid arthritis	intermediate	provisional	low	V8_axis_05_complement_innate_rheumatoid_arthritis_11		synovium/blood	literature	high	Synovium may be closer than blood; compartment-specific evidence needed.	1.0
axis_05_complement_innate	ulcerative colitis	intermediate	provisional	low	V8_axis_05_complement_innate_ulcerative_colitis_13		intestinal mucosa	literature	high	Not upgraded without disease-specific complement statistics.	1.0
axis_06_tcell_adaptive_repertoire	Crohn disease	intermediate	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_Crohn_disease_2		intestinal mucosa	clinical_perturbation/literature	high	Intermediate because adaptive axis overlaps but intervention direction differs by tissue/barrier context.	1.0
axis_06_tcell_adaptive_repertoire	Sjogren syndrome	unresolved	provisional	low	V8_axis_06_tcell_adaptive_repertoire_Sjogren_syndrome_24		none	none	high	Unresolved, not far.	
axis_06_tcell_adaptive_repertoire	rheumatoid arthritis	intermediate	provisional	low	V8_axis_06_tcell_adaptive_repertoire_rheumatoid_arthritis_4		synovium/blood	literature	high	Compartment likely matters; synovial adaptive states are not captured by V7 blood failures.	1.0
axis_06_tcell_adaptive_repertoire	ulcerative colitis	intermediate	provisional	medium	V8_axis_06_tcell_adaptive_repertoire_ulcerative_colitis_3		intestinal mucosa	clinical_perturbation/literature	high	Intermediate rather than near because barrier-tissue constraints dominate intervention consequences.	1.0
axis_07_treatment_response	Crohn disease	near	supported	medium	V8_axis_07_treatment_GSE16879_Crohn_disease		intestinal mucosa	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	2.0
axis_07_treatment_response	Sjogren syndrome	unresolved	provisional	low			no local evidence consolidated	none	high	Requires external/literature/genetic evidence.	
axis_07_treatment_response	rheumatoid arthritis	far	supported	medium	V8_axis_07_treatment_GSE12051_rheumatoid_arthritis;V8_axis_07_treatment_GSE138746_CD14_rheumatoid_arthritis;V8_axis_07_treatment_GSE8350_rheumatoid_arthritis		blood	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	0.0
axis_07_treatment_response	ulcerative colitis	contradictory	supported	medium	V8_axis_07_treatment_GSE16879_ulcerative_colitis;V8_axis_07_treatment_GSE12251_ulcerative_colitis;V8_axis_07_treatment_GSE73661_IFX_ulcerative_colitis;V8_axis_07_treatment_GSE73661_VDZ_UC	V8_axis_07_treatment_GSE12251_ulcerative_colitis	intestinal mucosa	treatment_perturbation	medium	Local V3-V7 evidence only; genetics/microbiome/literature axes not yet incorporated.	1.5
axis_08_tissue_repair_resolution	Crohn disease	near	supported	medium	V8_axis_08_tissue_repair_resolution_Crohn_disease_6		intestinal mucosa	treatment_perturbation	medium	Near on response-monitoring/repair dynamics, not on remyelination biology.	2.0
axis_08_tissue_repair_resolution	Sjogren syndrome	unresolved	provisional	low	V8_axis_08_tissue_repair_resolution_Sjogren_syndrome_32		none	none	high	Unresolved, not far.	
axis_08_tissue_repair_resolution	rheumatoid arthritis	far	supported	medium	V8_axis_08_tissue_repair_resolution_rheumatoid_arthritis_8		blood/synovium	treatment_perturbation	medium	Far for blood response-monitoring architecture; RA synovial tissue repair remains less tested.	0.0
axis_08_tissue_repair_resolution	ulcerative colitis	near	supported	medium	V8_axis_08_tissue_repair_resolution_ulcerative_colitis_7		intestinal mucosa	treatment_perturbation	medium	UC baseline prediction is contradictory; dynamic repair monitoring is the near placement.	2.0
axis_09_sex_hormonal_pregnancy	Crohn disease	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Crohn_disease_17		none	none	high	Unresolved, not far.	
axis_09_sex_hormonal_pregnancy	Sjogren syndrome	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_Sjogren_syndrome_47		none	none	high	Unresolved, not far.	
axis_09_sex_hormonal_pregnancy	rheumatoid arthritis	near	supported	medium	V8_axis_09_sex_hormonal_pregnancy_rheumatoid_arthritis_15		blood	natural_experiment	medium	Near on pregnancy modulation kinetics despite RA being far on blood treatment-response IFN/APC.	2.0
axis_09_sex_hormonal_pregnancy	ulcerative colitis	unresolved	provisional	low	V8_axis_09_sex_hormonal_pregnancy_ulcerative_colitis_18		none	none	high	Unresolved, not far.	
axis_10_infectious_trigger	Crohn disease	intermediate	provisional	low	V8_axis_10_infectious_trigger_Crohn_disease_21		intestinal mucosa	microbial_trigger	high	IBD is near on microbiome, not necessarily near on infectious-trigger specificity.	1.0
axis_10_infectious_trigger	Sjogren syndrome	unresolved	provisional	low	V8_axis_10_infectious_trigger_Sjogren_syndrome_55		none	none	high	Unresolved, not far.	
axis_10_infectious_trigger	rheumatoid arthritis	intermediate	provisional	low	V8_axis_10_infectious_trigger_rheumatoid_arthritis_20		mucosa/joint/systemic immune	infectious_association	high	Intermediate because infectious-trigger architecture differs from MS.	1.0
axis_10_infectious_trigger	ulcerative colitis	intermediate	provisional	low	V8_axis_10_infectious_trigger_ulcerative_colitis_22		intestinal mucosa	microbial_trigger	high	UC is near on microbiome/genetics but only intermediate on EBV-like infectious-trigger biology.	1.0
