query	nct_id	brief_title	overall_status	conditions	phases
NAMPT	NCT05911724	Association Between Inflammatory Biomarkers in CVD Patients on Empagliflozin.	COMPLETED	Stable Angina; Heart Failure	NA
NAMPT	NCT04937348	Visfatin and Omentin-1 - Markers of Nutritional Status of Newborns Born to Diabetic Mothers.	COMPLETED	Gestational Diabetes; Diabetes Mellitus; Neonate; Nutritional Status	NA
NAMPT	NCT07313111	Thymoquinone as an add-on Therapy for the Management of Patients With Diabetic Peripheral Neuropathy	COMPLETED	Diabetic Peripheral Neuropathy (DPN)	PHASE4
NAMPT	NCT04281420	A Study of Evaluating Dual Inhibitor of PAK4 and NAMPT ATG-019 in Advanced Solid Tumors or Non-Hodgkin's Lymphoma	TERMINATED	Solid Tumor, Non-Hodgkin's Lymphoma	PHASE1
NAMPT	NCT05662475	Effect of Periodontal Treatment on Visfatin, fetuin-a and Sirtuin 1 of Patients With Periodontitis and Type 2 Diabetes	COMPLETED	Periodontal Diseases; Type 2 Diabetes; Periodontitis	NA
NAMPT	NCT06723886	Antidiabetic Effect of Olive Pomace Oil	RECRUITING	Type 2 Diabetes Mellitus; Prediabetes (Insulin Resistance, Impaired Glucose Tolerance); Prediabetic State; Diabetes; Diabetes Mellitus	NA
NAMPT	NCT01613391	Effect of Roux-en-Y Gastric Bypass Versus Laparoscopic Adjustable Gastric Band Operations on Resistin, Apelin and Visfatin Peptides	COMPLETED	Morbid Obesity	NA
NAMPT	NCT01138774	Effects of Lipoic Acid and Eicosapentaenoic Acid (EPA) in Human Obesity	COMPLETED	Obesity; Body Fat; Insulin Resistance	NA
NAMPT	NCT02258698	Insulin Sensitivity, Irisin and Adipokines as Outcome Parameters in Patients Undergoing Cardiac Surgery	COMPLETED	Insulin Resistance; Diabetes Mellitus Type 2; Other Functional Disturbances Following Cardiac Surgery	NA
NAMPT	NCT07530341	Ketogenic Diet in Women With Lipedema	COMPLETED	Lipedema; Overweight and Obesity	NA
NAMPT	NCT05463237	Comparison of Visceral Adipokines Visfatin, Vaspin and Omentin Levels in Gestational Diabetes Mellitus Pregnant Women	COMPLETED	Gestational Diabetes; Obesity; Visceral Obesity	NA
NAMPT	NCT02174146	Leptin and Visfatin in Diabetic Patients With Periodontitis Before and After Periodontal Therapy	COMPLETED	Chronic Periodontitis; Type 2 Diabetes Mellitus	NA
NAMPT	NCT06426966	Gymnema Sylvestre vs Berberine in Obesity Gene Expression of Adipokines	COMPLETED	Diabetes Mellitus; Obesity	NA
NAMPT	NCT00771004	Efficacy of Pioglitazone on Myocardial Function in Patients Undergoing Coronary Stent Implantation.	COMPLETED	Oxidative Stress; Coronary Artery Disease; Type 2 Diabetes	PHASE2
NAMPT	NCT03901248	Study of Association of Salivary Adipokines With Prediabetes and Type 2 Diabetes Mellitus	COMPLETED	Type2 Diabetes Mellitus	NA
NAMPT	NCT02615626	Visfatin Levels Before and After Periodontal Treatment	COMPLETED	Periodontal Diseases	NA
NAMPT	NCT01237769	Effect of Vitamin D on Metabolic Parameters in Patients With the Metabolic Syndrome	UNKNOWN	Metabolic Syndrome	PHASE4
NAMPT	NCT04711564	The Effects of Different Lipid Emulsions on the Adipokines in Critically Ill Patients With Sepsis	COMPLETED	Sepsis	NA
NAMPT	NCT05018195	Adipocytokines in Endometrial Cancer	UNKNOWN	Endometrial Cancer	NA
NAMPT	NCT01595672	Early High-volume Continuous Veno-venous Hemofiltration for Patients With Severe Acute Pancreatitis	UNKNOWN	Acute Pancreatitis	NA
NAMPT	NCT06314191	Adipose Tissue and Symptomatic Gonarthrosis	NOT_YET_RECRUITING	Gonarthrosis; Obesity	NA
NAMPT	NCT02821377	Metabolic Effects of Furosemide +HSS in Refractory Ascites	COMPLETED	Ascites; Cirrhosis	PHASE2
NAMPT	NCT07107126	Safety and Proof-of-Concept Study of RPT1G in Adults With Acute Myeloid Leukemia and High-Risk Myelodysplastic Syndromes	RECRUITING	Acute Myeloid Leukemia; Myelodysplastic Syndrome	PHASE1
NAMPT	NCT01864447	Exercise Training After an Acute Blood Clot	COMPLETED	VTE	NA
NAMPT	NCT05426746	First-In-Human Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of ALT-100	COMPLETED	ARDS, Human	PHASE1
NAMPT	NCT06105775	Inorganic Nitrate Supplementation in Chronic Hypertensive Pregnancies	RECRUITING	Hypertension in Pregnancy; Hypertension; Pregnancy	NA
NAMPT	NCT07321795	Osteoporotic Vertebral Compression Fracture Cohort Study	NOT_YET_RECRUITING	OVCF Database; Cohort Study	NA
NAMPT	NCT02327039	The Effects of Dapagliflozin on HDL Particles Subtypes and Reverse Cholesterol Transport in Type 2 Diabetic Patients	COMPLETED	Type 2 Diabetes	PHASE4
NAMPT	NCT07099456	Fertility And Sexual Function In CAH: CALLIOPE	RECRUITING	Congenital Adrenal Hyperplasia (CAH)	NA
NAMPT	NCT05938036	Study of Safety and Efficacy of ALT-100mAb in Participants With Moderate/Severe ARDS	ACTIVE_NOT_RECRUITING	Acute Respiratory Distress Syndrome (ARDS)	PHASE2
NAMPT	NCT06499857	Semaglutide for Metabolic Intervention and Adipose Loss to Treat Atrial Fibrillation	RECRUITING	Overweight or Obesity; Atrial Fibrillation	PHASE3
NAMPT	NCT04914845	KPT-9274 in Patients With Relapsed and Refractory Acute Myeloid Leukemia	COMPLETED	Acute Myeloid Leukemia; Acute Myeloid Leukemia, in Relapse; Acute Myeloid Leukemia Refractory	PHASE1
NAMPT	NCT03444207	Effect of Endurance and Endurance-Strength Training on Inflammatory Markers in Women With Abdominal Obesity	COMPLETED	Obesity	NA
NAMPT	NCT04107259	IRAPe, Irisin and IL-34 in Patients With Type 2 Diabetes	COMPLETED	Type2 Diabetes Mellitus	NA
NAMPT	NCT00541710	Effect of Genistein in Women With Metabolic Syndrome	COMPLETED	Metabolic Syndrome	PHASE2; PHASE3
NAMPT	NCT04418713	Active Videogames Against Obesity in Children	COMPLETED	Childhood Obesity; Physical Activity; Sedentary Lifestyle; Body Fat	NA
NAMPT	NCT03592732	The Role of Adipokines In Atrial Fibrillation	UNKNOWN	Atrial Fibrillation; Adiposity; Adiponectin; Visceral Obesity; Hormone Disturbance	NA
NAMPT	NCT02378675	Adipocytokines, Gestational Diabetes Mellitus and Lipid Metabolism	COMPLETED	Gestational Diabetes Mellitus	NA
NAMPT	NCT02011581	Diurnal Variability in the Regulation of Beta-cell Function and Insulin Sensitivity in Overweight People	COMPLETED	Overweight	NA
NAMPT	NCT02702492	PAK4 and NAMPT in Patients With Solid Malignancies or NHL (PANAMA)	TERMINATED	Solid Tumors; NHL	PHASE1
NAMPT	NCT02061267	Olive Oil and Nampt on Postprandial Inflammation and Atherosclerosis in the Setting of Metabolic Syndrome	COMPLETED	Metabolic Syndrome	NA
NAMPT	NCT02760914	Adipose Tissue and Inflammation in Coronary Heart Disease	ACTIVE_NOT_RECRUITING	Coronary Heart Disease	NA
NAMPT	NCT01952795	Effect of Hypocaloric Diet and Exercise in Obese Women Who Are Subjected to IVF Cycle	COMPLETED	Obesity	NA
NAMPT	NCT01993342	Determination of Adipocytokine in Synovial Fluid of Osteoarthritis Patients	UNKNOWN	Osteoarthritis	NA
NAMPT	NCT01788267	Bone Microarchitecture in Young Cystic Fibrosis Patients	COMPLETED	Cystic Fibrosis	NA
NAMPT	NCT06225154	Effect of Periodontal Treatment on Adipokine Levels	COMPLETED	Periodontitis; Diabetes Mellitus, Type 2	NA
NAMPT	NCT01521624	Metformin Effects on Oxidative Stress Parameters in Newly Diagnosed Type 2 Diabetes Patients	COMPLETED	Type 2 Diabetes Mellitus	NA
NAMPT	NCT02427347	Acupuncture in the Regulation of Dai Meridian for the Metabolism of Visceral Adipose Tissue in Abdominal Obese Patients	COMPLETED	Abdominal Obesity; Metabolic Syndrome	NA
NAMPT	NCT03203486	Response of NAFLD Patients to Mediterranean Diet	COMPLETED	NAFLD; Steatosis of Liver	NA
NAMPT	NCT02236533	Healthy Effects of an Innovative Probiotic Pasta	COMPLETED	OBESITY; INFLAMMATION; DYSLIPIDEMIA; CONSTIPATION	NA
NAMPT	NCT03470987	The Role of Visfatin in Obesity and Periodontal Disease	COMPLETED	Obesity; Periodontitis	NA
NAMPT	NCT00881478	Family Intervention for Obese Children Using Portion Control Strategy for Weight Control	COMPLETED	Obesity	NA
NAMPT	NCT03214822	Human-derived Human Milk Fortifiers (H2MF), Gut Microbiota and Oxidative Stress in Premature Infants	COMPLETED	Very Low Birth Weight Baby; Premature Birth; Microbial Colonization; Oxidative Stress	NA
NAMPT	NCT05968469	The Effects of Aerobic Exercise in Patients With Ankylosing Spondylitis	COMPLETED	Ankylosing Spondylitis; Aerobic Exercise; Disease Activity	NA
NAMPT	NCT05784545	Dietary Supplementation With Blueberry in OA	ACTIVE_NOT_RECRUITING	Knee Osteoarthritis	NA
NAMPT	NCT05814458	The Efficiency of Transcranial Direct Current Stimulation in the Treatment of Anorexia Nervosa	ACTIVE_NOT_RECRUITING	Anorexia Nervosa	NA
NAMPT	NCT05652972	Effect of KETOgenic Diet on Metabolism, Inflammation, Nutrition Deficiencies and OXidative Stress in Women With Overweight	UNKNOWN	Overweight and Obesity	NA
NAMPT	NCT05093088	Effect of Circadian Rhythm on Brain NAD Measured by Phosphorus Magnetic Resonance Spectroscopy at 7 Tesla	UNKNOWN	Circadian Rhythm	NA
NAMPT	NCT03921879	Safety and Efficacy of OT-82 in Participants With Relapsed or Refractory Lymphoma	UNKNOWN	Lymphoma; Lymphoma, Non-Hodgkin; Lymphoma, B-Cell; Lymphoma, T-Cell; Lymphoma, Follicular; Lymphoma, Peripheral T-Cell; Lymphoma, Hodgkin	PHASE1
NAMPT	NCT07232836	Cytokines, Neuroplasticity Modulators, and Biomarkers in Spinal Canal Stenosis and Endoscopic Decompression	NOT_YET_RECRUITING	Spinal Stenosis; Ligamentum Flavum Hypertrophy	NA
NAMPT	NCT04528693	The Effect of 12-week Circuit Training on Insulin Sensitivity and Endothelial Function in Women With Insulin Resistance	COMPLETED	Insulin Resistance	NA
NAMPT	NCT05069324	PegvisOMant and the Immune SystEm (PROMISE)	COMPLETED	Acromegaly	NA
NAMPT	NCT05063383	Analysis of Clinical Characteristics and Study of Diagnostic Markers in Patients with Polycystic Ovary Syndrome	UNKNOWN	Polycystic Ovary Syndrome	NA
APO866	NCT00432107	A Study to Assess APO866 for the Treatment of Advanced Melanoma	COMPLETED	Melanoma	PHASE2
APO866	NCT00431912	A Study of APO866 for the Treatment of Cutaneous T-cell Lymphoma	COMPLETED	Cutaneous T-cell Lymphoma	PHASE2
APO866	NCT00435084	A Phase I/II Study to Assess the Safety and Tolerability of APO866 for the Treatment of Refractory B-CLL	COMPLETED	B-cell Chronic Lymphocytic Leukemia	PHASE1; PHASE2
visfatin	NCT06729905	Study of the Effects of Yerba Mate on Cardiometabolic Health	COMPLETED	Cardiovascular Risk; Hypercholerolemia	NA
visfatin	NCT06746441	Effect of Psilocybin Only and Psilocybin Assisted Cognitive Behavioral Therapy in the Management of Major Depressive Disorder and Associated Metabolic, Immune, Inflammatory, Neuroplasticity and Electrical Activity Markers	COMPLETED	Major Depressive Disorder	PHASE2
visfatin	NCT06127511	Peanut Consumption on Cognitive, Weight, and Inflammation	RECRUITING	Cognitive Performance; Inflammation; Weight Change, Body; Adolescents	NA
visfatin	NCT06275906	Influence of a Mediterranean Diet Combined With a Physical Activity Intervention, on NAFLD and Inflammation Parameters.	COMPLETED	NAFLD; Obesity; IBS	NA
visfatin	NCT01293175	Whole Grain Polyphenol Bioavailability and Effects on Health	COMPLETED	Overweight	NA
visfatin	NCT02660905	HIV Drug Switch Followed by HCV Therapy in HIV-HCV Co-Infection	COMPLETED	Human Immunodeficiency Virus; Hepatitis C, Chronic	PHASE3
visfatin	NCT03258307	Comparison of Perilipin, Leptin, Adipolipin, Adiponectin, Resistin, Visfatin, Estrone Levels Pre-post Omentectomy	COMPLETED	Gynecologic Cancer	NA
visfatin	NCT04763707	Serum Visfatin and Serum Vaspin in Patients With Hepatocellular Carcinoma on Top of Liver Cirrhosis	COMPLETED	Hepatocellular Carcinoma	NA
visfatin	NCT01223196	Effect of Pioglitazone on TIMP-3 and TACE in Type 2 Diabetes	COMPLETED	Type 2 Diabetes	PHASE4
visfatin	NCT05114772	Pre Procedural Biomarkers Might Predict Recurrent Atrial Fibrillation After Catheter Ablation	COMPLETED	Atrial Fibrillation	NA
visfatin	NCT03495128	Metabolic and Muscular Adaptations During Inactivity in 3 Days of Bed-rest	COMPLETED	Muscle Atrophy; Insulin Sensitivity	NA
visfatin	NCT00607945	Dietary Fatty Acids As Complementary Therapy in Type 2 Diabetes Mellitus	COMPLETED	Type 2 Diabetes Mellitus	PHASE1
visfatin	NCT02728570	Effect of Dietary Flavonoids on Intestinal Microbiota, Intestinal Inflammation and Metabolic Syndrome	COMPLETED	Metabolic Syndrome X; Inflammation	NA
visfatin	NCT06314932	Role of Ultra-processed Foods in Modulating the Effect of Mediterranean Diet	UNKNOWN	Overweight	NA
visfatin	NCT05192603	Comparison Between Low FODMAP and SSRD in IBS	ENROLLING_BY_INVITATION	IBS - Irritable Bowel Syndrome	NA
visfatin	NCT03814473	Paleo Diet 8wk Feasibility in Overweight Adults	COMPLETED	Overweight and Obesity	NA
visfatin	NCT04282005	Metabolic Surgery for Steato-Hepatitis	UNKNOWN	Non-alcoholic Fatty Liver Disease (NAFLD); Non-Alcoholic Steato-Hepatitis (NASH)	NA
visfatin	NCT06487286	Levels of Visfatin/NAMPT in Human Milk	RECRUITING	Visfatin Levels in Maternal Milk Samples; Birth Weight	NA
visfatin	NCT01400724	Inofolic NRT and the Metabolic Syndrome	COMPLETED	Metabolic Syndrome; Postmenopausal Disorder	NA
visfatin	NCT01997203	Long Term Vitamin D Therapy in HCV Treated Patients	TERMINATED	Chronic Hepatitis C	PHASE3
visfatin	NCT00939679	Effect of Gastric Bypass Surgery on Energy Metabolism	COMPLETED	Obesity	NA
visfatin	NCT07098299	Metformin Combined With Chemotherapy and/or Immunotherapy in Solid Malignancies	RECRUITING	Advanced Solid Tumor	PHASE1
visfatin	NCT03932110	Metabolic Syndrome in Psoriasis and Psoriatic Arthritis and Correlation With Serum Omentin and Visfatin Levels	COMPLETED	Psoriasis Vulgaris; Psoriatic Arthritis; Metabolic Syndrome	NA
visfatin	NCT04328233	Impact of Time-Restricted Eating on Metabolic Homeostasis, Inflammation and Oxidative Stress in Metabolic Syndrome	UNKNOWN	Metabolic Syndrome; Overweight or Obesity; PreDiabetes; Weight Loss; Quality of Life	NA
visfatin	NCT01290250	Evaluation of a New Orange-Based Beverage Enriched With Polyphenols in Adult Humans	COMPLETED	Overweight; Obesity	NA
visfatin	NCT03967730	Sonodynamic Therapy in the Treatment of Perivascular Adipose Tissue on Patients With PAD and Claudication	WITHDRAWN	Peripheral Arterial Disease	PHASE1; PHASE2
visfatin	NCT01147523	Effect of Spironolactone and Vitamin E in Patients With Nonalcoholic Fatty Liver Disease	COMPLETED	Fatty Liver; Steatohepatitis	PHASE2
visfatin	NCT05758311	The Project ATA: Adipose Tissue & Adipokines	UNKNOWN	Sedentary Behavior; Overweight; Obesity	NA
visfatin	NCT00495599	Adipose Secretory Function in Patients Before & After Laparoscopic Surgery	COMPLETED	Obesity	PHASE3
visfatin	NCT01664650	Effects of Genistein in Postmenopausal Women With Metabolic Syndrome	COMPLETED	Metabolic Syndrome	PHASE2; PHASE3
visfatin	NCT05911724	Association Between Inflammatory Biomarkers in CVD Patients on Empagliflozin.	COMPLETED	Stable Angina; Heart Failure	NA
visfatin	NCT04937348	Visfatin and Omentin-1 - Markers of Nutritional Status of Newborns Born to Diabetic Mothers.	COMPLETED	Gestational Diabetes; Diabetes Mellitus; Neonate; Nutritional Status	NA
visfatin	NCT07313111	Thymoquinone as an add-on Therapy for the Management of Patients With Diabetic Peripheral Neuropathy	COMPLETED	Diabetic Peripheral Neuropathy (DPN)	PHASE4
visfatin	NCT05662475	Effect of Periodontal Treatment on Visfatin, fetuin-a and Sirtuin 1 of Patients With Periodontitis and Type 2 Diabetes	COMPLETED	Periodontal Diseases; Type 2 Diabetes; Periodontitis	NA
visfatin	NCT06723886	Antidiabetic Effect of Olive Pomace Oil	RECRUITING	Type 2 Diabetes Mellitus; Prediabetes (Insulin Resistance, Impaired Glucose Tolerance); Prediabetic State; Diabetes; Diabetes Mellitus	NA
visfatin	NCT01613391	Effect of Roux-en-Y Gastric Bypass Versus Laparoscopic Adjustable Gastric Band Operations on Resistin, Apelin and Visfatin Peptides	COMPLETED	Morbid Obesity	NA
visfatin	NCT01138774	Effects of Lipoic Acid and Eicosapentaenoic Acid (EPA) in Human Obesity	COMPLETED	Obesity; Body Fat; Insulin Resistance	NA
visfatin	NCT02258698	Insulin Sensitivity, Irisin and Adipokines as Outcome Parameters in Patients Undergoing Cardiac Surgery	COMPLETED	Insulin Resistance; Diabetes Mellitus Type 2; Other Functional Disturbances Following Cardiac Surgery	NA
visfatin	NCT07530341	Ketogenic Diet in Women With Lipedema	COMPLETED	Lipedema; Overweight and Obesity	NA
visfatin	NCT05463237	Comparison of Visceral Adipokines Visfatin, Vaspin and Omentin Levels in Gestational Diabetes Mellitus Pregnant Women	COMPLETED	Gestational Diabetes; Obesity; Visceral Obesity	NA
visfatin	NCT02174146	Leptin and Visfatin in Diabetic Patients With Periodontitis Before and After Periodontal Therapy	COMPLETED	Chronic Periodontitis; Type 2 Diabetes Mellitus	NA
visfatin	NCT06426966	Gymnema Sylvestre vs Berberine in Obesity Gene Expression of Adipokines	COMPLETED	Diabetes Mellitus; Obesity	NA
visfatin	NCT00771004	Efficacy of Pioglitazone on Myocardial Function in Patients Undergoing Coronary Stent Implantation.	COMPLETED	Oxidative Stress; Coronary Artery Disease; Type 2 Diabetes	PHASE2
visfatin	NCT03901248	Study of Association of Salivary Adipokines With Prediabetes and Type 2 Diabetes Mellitus	COMPLETED	Type2 Diabetes Mellitus	NA
visfatin	NCT02615626	Visfatin Levels Before and After Periodontal Treatment	COMPLETED	Periodontal Diseases	NA
visfatin	NCT01237769	Effect of Vitamin D on Metabolic Parameters in Patients With the Metabolic Syndrome	UNKNOWN	Metabolic Syndrome	PHASE4
visfatin	NCT04711564	The Effects of Different Lipid Emulsions on the Adipokines in Critically Ill Patients With Sepsis	COMPLETED	Sepsis	NA
visfatin	NCT05018195	Adipocytokines in Endometrial Cancer	UNKNOWN	Endometrial Cancer	NA
visfatin	NCT01595672	Early High-volume Continuous Veno-venous Hemofiltration for Patients With Severe Acute Pancreatitis	UNKNOWN	Acute Pancreatitis	NA
visfatin	NCT06314191	Adipose Tissue and Symptomatic Gonarthrosis	NOT_YET_RECRUITING	Gonarthrosis; Obesity	NA
visfatin	NCT02821377	Metabolic Effects of Furosemide +HSS in Refractory Ascites	COMPLETED	Ascites; Cirrhosis	PHASE2
visfatin	NCT01864447	Exercise Training After an Acute Blood Clot	COMPLETED	VTE	NA
visfatin	NCT05426746	First-In-Human Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of ALT-100	COMPLETED	ARDS, Human	PHASE1
visfatin	NCT06105775	Inorganic Nitrate Supplementation in Chronic Hypertensive Pregnancies	RECRUITING	Hypertension in Pregnancy; Hypertension; Pregnancy	NA
visfatin	NCT07321795	Osteoporotic Vertebral Compression Fracture Cohort Study	NOT_YET_RECRUITING	OVCF Database; Cohort Study	NA
visfatin	NCT02327039	The Effects of Dapagliflozin on HDL Particles Subtypes and Reverse Cholesterol Transport in Type 2 Diabetic Patients	COMPLETED	Type 2 Diabetes	PHASE4
visfatin	NCT07099456	Fertility And Sexual Function In CAH: CALLIOPE	RECRUITING	Congenital Adrenal Hyperplasia (CAH)	NA
visfatin	NCT06499857	Semaglutide for Metabolic Intervention and Adipose Loss to Treat Atrial Fibrillation	RECRUITING	Overweight or Obesity; Atrial Fibrillation	PHASE3
visfatin	NCT04914845	KPT-9274 in Patients With Relapsed and Refractory Acute Myeloid Leukemia	COMPLETED	Acute Myeloid Leukemia; Acute Myeloid Leukemia, in Relapse; Acute Myeloid Leukemia Refractory	PHASE1
visfatin	NCT03444207	Effect of Endurance and Endurance-Strength Training on Inflammatory Markers in Women With Abdominal Obesity	COMPLETED	Obesity	NA
visfatin	NCT04107259	IRAPe, Irisin and IL-34 in Patients With Type 2 Diabetes	COMPLETED	Type2 Diabetes Mellitus	NA
visfatin	NCT00541710	Effect of Genistein in Women With Metabolic Syndrome	COMPLETED	Metabolic Syndrome	PHASE2; PHASE3
visfatin	NCT04418713	Active Videogames Against Obesity in Children	COMPLETED	Childhood Obesity; Physical Activity; Sedentary Lifestyle; Body Fat	NA
visfatin	NCT03592732	The Role of Adipokines In Atrial Fibrillation	UNKNOWN	Atrial Fibrillation; Adiposity; Adiponectin; Visceral Obesity; Hormone Disturbance	NA
visfatin	NCT02378675	Adipocytokines, Gestational Diabetes Mellitus and Lipid Metabolism	COMPLETED	Gestational Diabetes Mellitus	NA
visfatin	NCT02061267	Olive Oil and Nampt on Postprandial Inflammation and Atherosclerosis in the Setting of Metabolic Syndrome	COMPLETED	Metabolic Syndrome	NA
visfatin	NCT02760914	Adipose Tissue and Inflammation in Coronary Heart Disease	ACTIVE_NOT_RECRUITING	Coronary Heart Disease	NA
visfatin	NCT01952795	Effect of Hypocaloric Diet and Exercise in Obese Women Who Are Subjected to IVF Cycle	COMPLETED	Obesity	NA
visfatin	NCT01993342	Determination of Adipocytokine in Synovial Fluid of Osteoarthritis Patients	UNKNOWN	Osteoarthritis	NA
visfatin	NCT01788267	Bone Microarchitecture in Young Cystic Fibrosis Patients	COMPLETED	Cystic Fibrosis	NA
visfatin	NCT06225154	Effect of Periodontal Treatment on Adipokine Levels	COMPLETED	Periodontitis; Diabetes Mellitus, Type 2	NA
visfatin	NCT01521624	Metformin Effects on Oxidative Stress Parameters in Newly Diagnosed Type 2 Diabetes Patients	COMPLETED	Type 2 Diabetes Mellitus	NA
visfatin	NCT02427347	Acupuncture in the Regulation of Dai Meridian for the Metabolism of Visceral Adipose Tissue in Abdominal Obese Patients	COMPLETED	Abdominal Obesity; Metabolic Syndrome	NA
visfatin	NCT03203486	Response of NAFLD Patients to Mediterranean Diet	COMPLETED	NAFLD; Steatosis of Liver	NA
visfatin	NCT02236533	Healthy Effects of an Innovative Probiotic Pasta	COMPLETED	OBESITY; INFLAMMATION; DYSLIPIDEMIA; CONSTIPATION	NA
visfatin	NCT03470987	The Role of Visfatin in Obesity and Periodontal Disease	COMPLETED	Obesity; Periodontitis	NA
visfatin	NCT00881478	Family Intervention for Obese Children Using Portion Control Strategy for Weight Control	COMPLETED	Obesity	NA
