source	candidate	gene_or_target	compound	call	pass_count	failed_gates	reachable_modality	direct_or_foundation_or_response	cross_disease_state	ms_anchor	genetic_or_target_resolution	prior_not_blocked	safety_direction_clear	source_not_demoted	score	blocker_text	mechanism	modality	direction
wave81_perturbation_first	PSAP	PSAP		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;cross_disease_state;genetic_or_target_resolution;safety_direction_clear	False	True	False	True	False	True	False	True	7.0	nan nan perturbation/model support exists but critical MS/genetics/modality/direction gates fail 			
wave81_perturbation_first	STAT4	STAT4		NO_MODALITY_FIRST_CANDIDATE	4	direct_or_foundation_or_response;cross_disease_state;prior_not_blocked;safety_direction_clear	True	False	False	True	True	False	False	True	7.0	generic JAK/STAT/Th1-Th17 transcription factor axis; not selectively druggable in correct direction PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED generic JAK/STAT/Th1-Th17 transcription factor axis; not selectively druggable in correct direction STAT4_TF_not_selectively_druggable prior_branch_blocker_or_directionality_unresolved not selectively druggable and prior-art crowded pathway True STAT4_TF_not_selectively_druggable | prior_branch_blocker_or_directionality_unresolved | manual_or_prior_blocker;prior_branch_closed:broad_tf_jak_stat_axis_prior_art_no_selective_target | broad_tf_jak_stat_axis_pr		candidate modality channel	
wave83_modality_class	P2RX7_purinergic_inflammasome	P2RX7		NO_MODALITY_FIRST_CANDIDATE	4	cross_disease_state;ms_anchor;genetic_or_target_resolution;source_not_demoted	True	True	False	False	False	True	True	False	6.9	biochemical pattern lacks target-level gene convergence PARK_ORTHOGONAL_BIOCHEMICAL_SCOUT cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;source_audit_not_promotional 	P2RX7_purinergic_inflammasome	small molecule or receptor/enzyme modulation	P2RX7_purinergic_inflammasome
wave83_modality_class	EPHX2_sEH_oxylipin_diol	EPHX2		NO_MODALITY_FIRST_CANDIDATE	4	cross_disease_state;ms_anchor;genetic_or_target_resolution;source_not_demoted	True	True	False	False	False	True	True	False	6.5	biochemical pattern lacks target-level gene convergence PARK_ORTHOGONAL_BIOCHEMICAL_SCOUT cross_disease_cellstate;ms_anchor;genetic_or_target_resolution;source_audit_not_promotional 	EPHX2_sEH_oxylipin_diol	small molecule or receptor/enzyme modulation	EPHX2_sEH_oxylipin_diol
wave126_l1000_reversal	BRD-A56020723	CTSB	CA-074-Me	NO_MODALITY_FIRST_CANDIDATE	4	genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	True	True	False	False	False	False	6.0	not_generic_prior_bucket;prior_triage_not_no_go;promotion_gate_open NO_GO_PRIOR generic/prior-art inflammatory target CTSB NO_GO nan nan nan True  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;manual_or_prior_blocker |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;manual_or_prior_blocker |  | insufficient_independent_convergence_after_guardrails | NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY |  |  |   NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR NO_REOPEN_INSU	Cathepsin inhibitor	small molecule L1000 reversal	reverse disease-state signature
wave81_perturbation_first	TNFRSF1A	TNFRSF1A		NO_MODALITY_FIRST_CANDIDATE	4	direct_or_foundation_or_response;cross_disease_state;prior_not_blocked;safety_direction_clear	True	False	False	True	True	False	False	True	6.0	TNFR1/MS genetics but TNF-axis direction is hazardous in MS PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED TNFR1/MS genetics but TNF-axis direction is hazardous in MS TNF_axis_prior_art_and_MS_paradox_risk nan TNF-axis prior art and MS paradox risk True TNF_axis_prior_art_and_MS_paradox_risk |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:tnf_axis_ms_paradox_and_safety_blocker | tnf_axis_ms_paradox_and_safety_blocker | weak_reachability;manual_or_prior_blocker;prior_branch_closed:tnf_axis_ms_paradox_and_safety_blocker | tnf_axis_ms_paradox_and_safety_blocker | broad_host_defense_m		candidate modality channel	
wave81_perturbation_first	ASAH1	ASAH1		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;cross_disease_state;genetic_or_target_resolution;prior_not_blocked	False	True	False	True	False	False	True	True	5.0	sphingolipid enzyme route prior audited; no translational specificity nan sphingolipid enzyme route prior audited; no translational specificity 			
wave81_perturbation_first	ATF5	ATF5		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;cross_disease_state;genetic_or_target_resolution	False	False	False	True	False	True	True	True	5.0	nan nan candidate lacks direct perturbation or model support 			
wave126_l1000_reversal	BRD-K30707190	CTNNB1	PNU-74654	NO_MODALITY_FIRST_CANDIDATE	4	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	True	True	True	False	False	False	True	False	5.0	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO oncology/cell-cycle/stress target CTNNB1 NO_GO 	Beta-catenin inhibitor	small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K41859756	HSP90AA1	NVP-AUY922	NO_MODALITY_FIRST_CANDIDATE	4	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	True	True	True	False	False	False	True	False	5.0	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO oncology/cell-cycle/stress target HSP90AA1 NO_GO 	HSP inhibitor	small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K61323504	CXCR2	SB-225002	NO_MODALITY_FIRST_CANDIDATE	4	genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	True	True	False	False	False	False	5.0	not_generic_prior_bucket;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO_PRIOR generic/prior-art inflammatory target CXCR2 NO_GO nan nan nan True  |  | no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:neutrophil_chemokine_axis_prior_art_and_safety | neutrophil_chemokine_axis_prior_art_and_safety | no_strong_ms_anchor;manual_or_prior_blocker;prior_branch_closed:neutrophil_chemokine_axis_prior_art_and_safety | neutrophil_chemokine_axis_prior_art_and_safety | prior_art_and_safety_saturated_neutrophil_axis |  |  |  |  nan   PARK_PRIOR_ART_OR_HOST_DEFENSE_PE	CCK receptor antagonist	small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K69023402	ATP2A1	thapsigargin	NO_MODALITY_FIRST_CANDIDATE	4	genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	True	True	False	False	False	False	5.0	not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO high-risk cytotoxic/steroid/stress compound NO_GO nan nan nan True  |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  |  |  |  |  |       	ATPase inhibitor	small molecule L1000 reversal	reverse disease-state signature
wave81_perturbation_first	ATF3	ATF3		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	4.0	nan nan candidate lacks direct perturbation or model support 			
wave126_l1000_reversal	BRD-K30351863	APEX1	BRD-K30351863	NO_MODALITY_FIRST_CANDIDATE	4	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	True	True	True	False	False	False	True	False	4.0	selective_vs_generic_ifn;not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO oncology/cell-cycle/stress target APEX1 NO_GO 	APEX inhibitor	small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K61829047	XPO1	7b-cis	NO_MODALITY_FIRST_CANDIDATE	4	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	True	True	True	False	False	False	True	False	4.0	selective_vs_generic_ifn;not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO oncology/cell-cycle/stress target XPO1 NO_GO 	Exportin antagonist	small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K64890080	PLK1	BI-2536	NO_MODALITY_FIRST_CANDIDATE	4	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	True	True	True	False	False	False	True	False	4.0	not_contradicted_by_similar;not_toxic_or_steroid;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO oncology/cell-cycle/stress target PLK1 NO_GO 	PLK inhibitor	small molecule L1000 reversal	reverse disease-state signature
wave81_perturbation_first	CASP10	CASP10		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	4.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	FBXO6	FBXO6		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	4.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	PDCD5	PDCD5		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	4.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	SMARCA5	SMARCA5		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	4.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	SOX9	SOX9		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	4.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	BATF2	BATF2		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	3.0	nan nan candidate lacks direct perturbation or model support 			
wave126_l1000_reversal	BRD-K30296925	IKBKB	flavokavain-b	NO_MODALITY_FIRST_CANDIDATE	4	ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	True	True	True	False	False	False	True	False	3.0	selective_vs_generic_ifn;not_toxic_or_steroid;not_generic_prior_bucket;mechanism_class_relevant;prior_triage_not_no_go;promotion_gate_open NO_GO oncology/cell-cycle/stress target IKBKB NO_GO 	Anti-cancer agent	small molecule L1000 reversal	reverse disease-state signature
wave81_perturbation_first	KLF6	KLF6		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;cross_disease_state;ms_anchor;genetic_or_target_resolution	False	True	False	False	False	True	True	True	3.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	STAT6	STAT6		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	3.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	UBE2L6	UBE2L6		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	3.0	nan nan candidate lacks direct perturbation or model support 			
wave81_perturbation_first	USP18	USP18		NO_MODALITY_FIRST_CANDIDATE	4	reachable_modality;direct_or_foundation_or_response;ms_anchor;genetic_or_target_resolution	False	False	True	False	False	True	True	True	3.0	nan nan candidate lacks direct perturbation or model support 			
wave83_modality_class	GPR183_EBI2_OXYSTEROL_NICHE	GPR183		NO_MODALITY_FIRST_CANDIDATE	3	cross_disease_state;ms_anchor;genetic_or_target_resolution;safety_direction_clear;source_not_demoted	True	True	False	False	False	True	False	False	8.0	no cross-disease coherent ligand-plus-GPR183-plus-response context; no local target-resolved genetics or direct intervention/druggability anchor; Wave66 oxysterol-like metabolites remain sparse PARK_GPR183_OXYSTEROL_NICHE ms_anchor;genetic_or_target_resolution;source_audit_not_promotional nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  |   	GPR183/EBI2 oxysterol-guided migration and APC niche	GPR183 antagonist/biased modulator	modulate oxysterol-guided inflammatory niches
wave81_perturbation_first	PARK7	PARK7		NO_MODALITY_FIRST_CANDIDATE	3	cross_disease_state;ms_anchor;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	False	False	True	False	False	False	8.0	nan NO_REOPEN_INSUFFICIENT_CONVERGENCE perturbation/model support exists but critical MS/genetics/modality/direction gates fail nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |   		candidate modality channel	
wave83_modality_class	PARK7_RESIDUAL_ROUTE	PARK7		NO_MODALITY_FIRST_CANDIDATE	3	cross_disease_state;ms_anchor;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	False	False	True	False	False	False	7.3	no_ms_anchor;insufficient_cross_disease_breadth;no_fdr_response_support PARK_ROUTE_POSSIBLE_BUT_EVIDENCE_INCOMPLETE cross_disease_cellstate;ms_anchor;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels nan nan nan False  |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  |   	no local MS anchor, generic stress biology, and target-resolution artifacts do not support a disease-specific intervention	small-molecule DJ-1/PARK7 modulators exist as a broad stress-biology concept, but no local autoimmune/MS route is resolved	unresolved; oxidative-stress/neurodegeneration biology could imply restoration, while inflammatory-state expression does not
wave83_modality_class	retinoid_vdr_rxr	RETINOID		NO_MODALITY_FIRST_CANDIDATE	3	direct_or_foundation_or_response;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_not_demoted	True	False	True	True	False	False	False	False	7.1	Vitamin D, retinoic-acid, and RXR/RAR immunomodulation are very crowded and pleiotropic. NO_GO genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;no_perturbation_model_response_or_biochemistry;fewer_than_two_support_channels 	Retinoid/RAR/RXR/VDR differentiation-barrier axis	retinoids, rexinoids, vitamin-D analogs, and VDR agonists exist	activate differentiation/tolerogenic programs only in tissue contexts where barrier repair, not broad immune suppression, is measured
wave126_l1000_reversal	BRD-A20131130	NAN	BRD-A20131130	NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	True	True	False	False	False	True	False	7.0	known_target;mechanism_class_relevant PARK_UNKNOWN unresolved target/MOA; cannot nominate without deconvolution PARK_UNKNOWN_ONLY 		small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K33583600	NAN	BRD-K33583600	NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	True	True	False	False	False	True	False	7.0	known_target;mechanism_class_relevant PARK_UNKNOWN unresolved target/MOA; cannot nominate without deconvolution PARK_UNKNOWN_ONLY 		small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K35024477	NAN	BRD-K35024477	NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	True	True	False	False	False	True	False	7.0	known_target;mechanism_class_relevant PARK_UNKNOWN unresolved target/MOA; cannot nominate without deconvolution PARK_UNKNOWN_ONLY 		small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K53561341	NAN	KIN-001-220	NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	True	True	False	False	False	True	False	7.0	known_target;mechanism_class_relevant PARK_UNKNOWN unresolved target/MOA; cannot nominate without deconvolution PARK_UNKNOWN_ONLY 		small molecule L1000 reversal	reverse disease-state signature
wave126_l1000_reversal	BRD-K92301463	NAN	BRD-K92301463	NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;ms_anchor;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	True	True	False	False	False	True	False	7.0	known_target;mechanism_class_relevant PARK_UNKNOWN unresolved target/MOA; cannot nominate without deconvolution PARK_UNKNOWN_ONLY 		small molecule L1000 reversal	reverse disease-state signature
wave81_perturbation_first	DAP	DAP		NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;direct_or_foundation_or_response;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	False	True	True	False	False	True	False	7.0	nan NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support      no_target_resolved_coloc_or_mr   NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 			
wave81_perturbation_first	FMNL2	FMNL2		NO_MODALITY_FIRST_CANDIDATE	3	reachable_modality;direct_or_foundation_or_response;genetic_or_target_resolution;prior_not_blocked;source_not_demoted	False	False	True	True	False	False	True	False	7.0	nan NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 			
wave83_modality_class	IL7R_TARGETED_ROUTE	IL7R		NO_MODALITY_FIRST_CANDIDATE	3	cross_disease_state;ms_anchor;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	False	False	True	False	False	False	7.0	strict_ms_white_matter_anchor; real_perturbation_or_efferocytosis; module_specific_not_generic_immunology; prior_art_not_blocking NO_GO_WAVE58_TARGETED_AUDIT ms_anchor;prior_not_blocked;safety_direction_clear;source_audit_not_promotional;fewer_than_two_support_channels prior_art_CD127_autoimmune_axis nan prior-art crowded CD127/IL-7R autoimmune route True prior_art_CD127_autoimmune_axis |  | weak_reachability;manual_or_prior_blocker;prior_branch_closed:cd127_axis_prior_art_and_cell_type_direction_conflict | cd127_axis_prior_art_and_cell_type_direction_conflict | weak_reachability;manual_or_pri	IL7R targeted autoimmune route	small molecule or biologic depending on target	inhibit/rebalance immune signaling
wave81_perturbation_first	NCF2	NCF2		NO_MODALITY_FIRST_CANDIDATE	3	cross_disease_state;genetic_or_target_resolution;prior_not_blocked;safety_direction_clear;source_not_demoted	True	True	False	True	False	False	False	False	7.0	NOX2 host-defense/CGD directionality risk NO_REOPEN_BLOCKED_BRANCH NOX2 host-defense/CGD directionality risk nan nan nan True  |  | weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker |  | weak_reachability;no_strong_ms_anchor;manual_or_prior_blocker |  | closed_nox_ros_branch |  |  |  |     NO_REOPEN_BLOCKED_BRANCH NOX2 host-defense/CGD directionality risk NO_GO_WAVE62_TARGET_RESOLUTION		candidate modality channel	
