gene	proxy_call	decision_reason	primary_blocker	genetics_ready_score	module_state_score	perturbation_score	modality_penalty	proper_coloc_or_mr_feasible_this_run	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	gwas_catalog_trait_count	gwas_catalog_min_p	gtex_n_relevant_tissues_with_significant_cis_eqtl	gtex_relevant_tissues_with_significant_cis_eqtl	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_positive_nominal	strict_core_covariate_surviving_disease_count	non_ibd_retained_positive_disease_count	residual_gate_priority_score	geneformer_support_contexts	foundation_real_perturbation_alignment_call	foundation_rescue_recommendation	direct_perturbation_support_binary	perturbation_contradicted_or_do_not_promote	wave23_route_calls	wave23_restoration_call	wave23_restoration_reason	wave23_metabolite_calls	wave24_l1000_target_rows	coloc_mr_blocker	mechanism_note	overall_proxy_score
IRF5	NO_GO_CAUSAL_PROXY	Broad autoimmune locus/eQTL evidence exists, but module-state support is weak or contradictory. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	9.0	0.0	-2.0	1.0	False	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	17	2e-143	9	Whole_Blood;Spleen;Colon_Sigmoid;Colon_Transverse;Small_Intestine_Terminal_Ileum;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Cells_Cultured_fibroblasts	0	0		-0.160335979633075	0.5711412387155418	False	0	0	0.0	0	no_rescue	do_not_promote	0	True	NO_GO	NO_GO	Not a restoration-first target in this scout: not a restoration target; inhibitor route is feasible but saturated and close to generic TLR/IFN biology.		0	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader	myeloid/B-cell inflammatory transcription factor; broad autoimmune locus evidence but target-level coloc/MR still required	6.0
CLEC16A	NO_GO_CAUSAL_PROXY	Broad autoimmune locus/eQTL evidence exists, but module-state support is weak or contradictory. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	7.0	1.0	-2.0	0.0	False	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	0	7	3.0000000000000003e-31	7	Whole_Blood;Colon_Transverse;Small_Intestine_Terminal_Ileum;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Cells_Cultured_fibroblasts	1	0	Crohn disease	0.1097171053941039	0.5873801680223918	False	0	0	0.0	0	no_rescue	do_not_promote	0	True	NO_GO	NO_GO	correct direction may be restoration, but current tools are indirect and not target-selective; locus causality is unresolved.		0	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; 16p13 locus has nearby CIITA/DEXI/SOCS1 ambiguity	16p13 autophagy/mitophagy locus with neighboring CIITA/DEXI/SOCS1 ambiguity	6.0
STAT1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.5	2.4	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	0.5378996098681981	0.1363451431707629	False	0	1	4.0	2	model_and_broad_ifn_jak_real_align_not_selective	positive_control_not_candidate_promotion	1	False					0			5.9
ATOX1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	7.5	-1.8	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.5235633697570927	0.5641167566536998	False	2	1	19.0	1	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			5.7
SH2B3	NO_GO_CAUSAL_PROXY	Broad autoimmune locus/eQTL evidence exists, but module-state support is weak or contradictory. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	8.25	1.0	-1.6	2.0	False	10	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	9	1	0.0	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Spleen	1	0	ulcerative colitis	-0.150958184932211	0.5634203150143879	False	0	0	0.0	2	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True	NO_GO	NO_GO	broad genetics but no current target-selective restoration modality and substantial pleiotropy.		0	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; 12q24 locus is highly pleiotropic across hematopoietic/immune traits	LNK cytokine-signaling adaptor; strong 12q24 pleiotropic locus, broad hematopoietic effects	5.65
TPM4	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.5	-1.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-0.0374723547260309	0.9001013429967964	False	2	1	19.0	5	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			5.5
CD300E	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	3.0	2.2	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	-1.516556121882542	0.131192827685522	False	0	0	1.0	1	model_and_gse162463_screen_align_relative_to_ctsh	triage_only_gse162463_not_promotion_grade	1	False					0			5.2
C1QTNF1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	7.0	-2.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2172605175146804	0.8642634636230562	False	2	0	16.0	0	no_rescue	do_not_promote	0	True					0			5.0
HIF1A	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-1.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.1231736174707265	0.7282461776522897	False	2	0	16.0	7	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			5.0
IFITM3	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.0	-1.0	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.4945365481899664	0.2965069179161008	False	0	2	8.0	8	model_contradicted_by_gse162463_screen	do_not_promote	0	True					0			5.0
CFB	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.5	-1.6	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.9822682065524936	0.2868607768107353	False	1	2	15.0	2	model_only_no_real_perturbation_alignment	do_not_promote_from_foundation_model	0	True					0			4.9
NME1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.5	-1.6	0.0	False	0		0	0		0		5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.386249849366223	0.3480428652732463	False	1	0	8.0	2	no_rescue	do_not_promote	0	True					0			4.9
TIMP1	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.5	-1.6	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.5836919250703687	0.415232450290228	False	1	2	14.0	2	no_rescue	do_not_promote	0	True					0			4.9
GPR65	NO_GO_CAUSAL_PROXY	Broad autoimmune locus/eQTL evidence exists, but module-state support is weak or contradictory. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	7.75	-1.0	-2.0	0.0	False	5	AS;Crohn;MS;Psoriasis;UC	2	3	4e-18	5	Whole_Blood;Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Cells_Cultured_fibroblasts	1	2	Sjogren syndrome	0.09040507812532	0.6241465917972195	False	0	0	0.0	0	no_rescue	do_not_promote	0	True	PARK_REVIEW	PARK	current modality class is plausible, but local support is weak/contradictory and IBD/GPR65 prior art is already direct.		0	broad disease locus evidence exists but is not target-level causal evidence; GTEx cis-eQTL exists but full SNP-level eQTL summary stats were not downloaded; no paired disease GWAS summary stats and eQTL/pQTL summary files were available locally for multi-signal coloc; OpenGWAS endpoint returned auth barrier in this run; local GWAS Catalog parquet lacks an installed reader; disease-direction conflict remains unresolved	pH-sensing GPCR; druggable and IBD/spondylo/psoriasis/MS locus evidence, but directionality needs functional resolution	4.75
LDLRAD3	NO_GO_CAUSAL_PROXY	Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	no_target_resolved_coloc_or_mr	0.0	6.5	-2.0	0.0	False	0		0	0		0		3	0	Crohn disease;psoriasis;ulcerative colitis	0.174502585370285	0.8376004526982199	False	2	1	19.0	0	no_rescue	do_not_promote	0	True					0			4.5
AGRN	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1994784498572919	0.5354048479004957	False	0	1	4.0	0			0	False					0			4.5
APOL1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1201588560224085	0.5940095372095473	False	0	1	5.0	0			0	False					0			4.5
ASL	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.321226334266484	0.2727488139944647	False	0	1	5.0	0			0	False					0			4.5
C15ORF48	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.223015588579818	0.0037534871126623	True	0	1	7.0	0			0	False					0			4.5
CCL20	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1469018183892334	0.0611072952242856	False	0	1	5.0	0			0	False					0			4.5
CD24	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	-0.3131457372415891	0.79096128985077	False	0	1	4.0	0			0	False					0			4.5
CFP	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-2.298076006660539	0.0364971261630132	False	0	1	5.0	0			0	False					0			4.5
EPSTI1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	0.4425534478541948	0.1545660129526676	False	0	1	4.0	0			0	False					0			4.5
IDO1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis			False	0	1	5.0	0			0	False					0			4.5
IL23A	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.6573316951945598	0.0916123649390088	False	0	1	3.0	0			0	False					0			4.5
JAK3	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		5	1	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-1.2743341179086656	0.0149902470163362	False	0	1	5.0	0			0	False					0			4.5
KCNJ2	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0024263976862091	0.9930959415390695	False	0	1	5.0	0			0	False					0			4.5
LRG1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.2380702563143817	0.6702536111918803	False	0	1	5.0	0			0	False					0			4.5
LRRC61	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.697050672079687	0.5819581822185158	False	0	1	4.0	0			0	False					0			4.5
MSRB1	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.0476228372838241	0.8145296396169516	False	0	1	5.0	0			0	False					0			4.5
NMI	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1366878120920951	0.5370361570982254	False	0	1	5.0	0			0	False					0			4.5
P4HB	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	-0.1078198500006752	0.5193269228408691	False	0	1	5.0	0			0	False					0			4.5
PDIA4	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.6214340839245054	0.0407144742028937	False	0	1	5.0	0			0	False					0			4.5
PI3	NO_GO_CAUSAL_PROXY	Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	no_target_resolved_coloc_or_mr	0.0	4.5	0.0	0.0	False	0		0	0		0		4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis			False	0	1	5.0	0			0	False					0			4.5
