source_api	query	id	pmid	pmcid	doi	title	journal	year	url
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	37483622	37483622	PMC10360655	10.3389/fimmu.2023.1209923	Dimethyl fumarate-related immune and transcriptional signature is associated with clinical response in multiple sclerosis-treated patients.	Front Immunol	2023	https://europepmc.org/article/MED/37483622
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	38338652	38338652	PMC10855583	10.3390/ijms25031372	Response to Fingolimod in Multiple Sclerosis Patients Is Associated with a Differential Transcriptomic Regulation.	Int J Mol Sci	2024	https://europepmc.org/article/MED/38338652
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	41057909	41057909	PMC12506310	10.1186/s12967-025-07203-w	Development and validation of blood-based diagnostic biomarkers for Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) using EpiSwitch&lt;sup&gt;®&lt;/sup&gt; 3-dimensional genomic regulatory immuno-genetic profiling.	J Transl Med	2025	https://europepmc.org/article/MED/41057909
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	38625017	38625017	PMC11239565	10.1093/cei/uxae032	Dysregulated lipid metabolism networks modulate T-cell function in people with relapsing-remitting multiple sclerosis.	Clin Exp Immunol	2024	https://europepmc.org/article/MED/38625017
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	36674968	36674968	PMC9862618	10.3390/ijms24021448	A Comprehensive Exploration of the Transcriptomic Landscape in Multiple Sclerosis: A Systematic Review.	Int J Mol Sci	2023	https://europepmc.org/article/MED/36674968
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	41226355	41226355	PMC12609898	10.3390/ijms262110316	Nano-Based Vaccine Delivery Systems: Innovative Therapeutics Against Cancer and Neurological Disorders.	Int J Mol Sci	2025	https://europepmc.org/article/MED/41226355
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	30283812	30283812	PMC6168332	10.1212/nxi.0000000000000470	Mononuclear cell transcriptome changes associated with dimethyl fumarate in MS.	Neurol Neuroimmunol Neuroinflamm	2018	https://europepmc.org/article/MED/30283812
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	32116644	32116644	PMC7019031	10.3389/fnagi.2020.00001	Electrophile Signaling and Emerging Immuno- and Neuro-modulatory Electrophilic Pharmaceuticals.	Front Aging Neurosci	2020	https://europepmc.org/article/MED/32116644
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	31844089	31844089	PMC6915776	10.1038/s41467-019-13731-z	IL-17<sup>+</sup> CD8<sup>+</sup> T cell suppression by dimethyl fumarate associates with clinical response in multiple sclerosis.	Nat Commun	2019	https://europepmc.org/article/MED/31844089
Europe PMC	"dimethyl fumarate" "multiple sclerosis" transcriptome responder	31300673	31300673	PMC6626021	10.1038/s41467-019-11139-3	Therapeutic efficacy of dimethyl fumarate in relapsing-remitting multiple sclerosis associates with ROS pathway in monocytes.	Nat Commun	2019	https://europepmc.org/article/MED/31300673
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	PMC13299371		PMC13299371		Integrative Transcriptomics Uncovers IFN-β Signature and IFITM3 as Putative Molecular Mediator in MS	Int J Mol Sci	2026	
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	41981407	41981407	PMC13088472	10.1186/s12974-026-03735-0	Extensive peripheral immunoglobulin repertoire analyses in people with multiple sclerosis reveal disease-specific signatures and distinct treatment effects of disease modifying drugs.	J Neuroinflammation	2026	https://europepmc.org/article/MED/41981407
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	39949773	39949773	PMC11821495	10.3389/fimmu.2025.1531447	Apheresis for the treatment of relapses in MS and NMOSD: reduced antibody reactivities, gene expression changes and potential clinical response indicators.	Front Immunol	2025	https://europepmc.org/article/MED/39949773
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	40749525	40749525	PMC12336691	10.1016/j.ebiom.2025.105873	HLA-A∗03:01 as predictive genetic biomarker for glatiramer acetate treatment response in multiple sclerosis: a retrospective cohort analysis.	EBioMedicine	2025	https://europepmc.org/article/MED/40749525
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	41880578	41880578	PMC13038060	10.1073/pnas.2514753123	Immune cell profiling reveals expanded stem cell-like memory T cells in anti-GAD65-associated neurological syndromes.	Proc Natl Acad Sci U S A	2026	https://europepmc.org/article/MED/41880578
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	41641929	41641929	PMC12875166	10.1002/jmv.70825	Epstein-Barr Virus Infection at Single-Cell Resolution.	J Med Virol	2026	https://europepmc.org/article/MED/41641929
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	PPR1133563			10.21203/rs.3.rs-8337240/v1	A single-cell cytokine dictionary of human peripheral blood		2025	
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	41086385	41086385	PMC13231491	10.1200/cci-25-00108	Large Language Models for Translational Cancer Informatics.	JCO Clin Cancer Inform	2025	https://europepmc.org/article/MED/41086385
Europe PMC	"multiple sclerosis" "treatment response" PBMC transcriptome	38084102	38084102	PMC10710756	10.1177/17562864231211077	Single-cell profiling reveals preferential reduction of memory B cell subsets in cladribine patients that correlates with treatment response.	Ther Adv Neurol Disord	2023	https://europepmc.org/article/MED/38084102
Europe PMC	"NEDA-4" "dimethyl fumarate" transcriptome	40537080	40537080	PMC12185221	10.1212/nxi.0000000000200420	Extracellular Vesicle-Derived MicroRNAs as a Biomarker for Therapeutic Response in Multiple Sclerosis.	Neurol Neuroimmunol Neuroinflamm	2025	https://europepmc.org/article/MED/40537080
Europe PMC	"NEDA-4" "dimethyl fumarate" transcriptome	37261349	37261349	PMC10227605	10.3389/fimmu.2023.1135540	Central nervous system demyelinating diseases: glial cells at the hub of pathology.	Front Immunol	2023	https://europepmc.org/article/MED/37261349
Europe PMC	"NEDA-4" "dimethyl fumarate" transcriptome	30976575	30976575	PMC6350633	10.15171/bi.2018.s1	The 3<sup>rd</sup> National Festival & International Congress on Stem Cell & Regenerative Medicine.	Bioimpacts	2018	https://europepmc.org/article/MED/30976575
