action_id	action_type	priority	item	source_artifact	input_rows	next_step	boundary
V48_HO_011	run_targeted_source_search	high	No load-bearing invariant found in V26	knowledge_external/synthesis/HIGH_PRIORITY_SOURCE_SEARCH_QUERIES_V48.md	2 query rows; targets=GEO/ArrayExpress;PubMed/EuropePMC	Run the query packet outside this artifact, then ingest any usable hit through V47 segregated records before relationship classification.	search handoff only; query hits are not findings
V48_HO_012	apply_source_acceptance_criteria	high	Mucosal IBD early IFN/APC downshift validates while baseline fallback fails	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	IBD/MS transfer-specific literature or datasets	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_013	apply_source_acceptance_criteria	high	UC genetics vs treatment-response layer split	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	IBD/MS transfer-specific literature or datasets	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_014	apply_source_acceptance_criteria	high	First-principles druggability discipline changed target interpretation	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	method/governance literature	Source must address the same methodological question, not broad MS biology.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_015	apply_source_acceptance_criteria	high	Locked V7 general cross-disease baseline fallback killed	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	same-failure-mode source	Source must match the project failure definition closely enough for convergence/contradiction classification.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_016	apply_source_acceptance_criteria	high	Tool-robust but simple V22 scalar	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	method/governance literature	Source must address the same methodological question, not broad MS biology.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_017	apply_source_acceptance_criteria	high	Crohn downstream IFN/APC convergence exceeds genetic proximity	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	IBD/MS transfer-specific literature or datasets	Source must address the same disease-pair layer and direction, or provide a dataset route for future grounding.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_018	apply_source_acceptance_criteria	high	RA pregnancy comparator but blood APC treatment-response nontransfer	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	pregnancy/postpartum comparator literature or datasets	Source must include matching timing, compartment, and disease-comparator definition.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_019	apply_source_acceptance_criteria	high	EBV/IFN APC imprint downgraded by specificity control	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	EBV-stratified immune-data source	Source must support a specificity-aware test route, not merely EBV-MS association context.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_020	apply_source_acceptance_criteria	high	GPR25 demoted from protected favorite	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	locus/signal-specific genetics source	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_021	apply_source_acceptance_criteria	high	MHC overlap is distinct-signal, not simple shared biology	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	locus/signal-specific genetics source	Source must address the same variant/gene/direction or provide importable summary-statistic/QTL data.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_022	apply_source_acceptance_criteria	high	No load-bearing invariant found in V26	knowledge_external/synthesis/HIGH_PRIORITY_EXTERNAL_SOURCING_PLAN_V48.md	same-failure-mode source	Source must match the project failure definition closely enough for convergence/contradiction classification.	source-acceptance handoff only; generic adjacent context remains insufficient
V48_HO_023	future_grounding_queue	low	MS-UC is strongest tested genome-wide genetics comparator	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_001	No action needed for current interpretation; future refresh should hash and rerun the external summary-statistic inputs if imported.	future-grounding handoff only; queued items are not findings
V48_HO_024	future_grounding_queue	low	Layer-specific autoimmune transfer-validity map	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_002	If pursued clinically, ground specific treatment-transfer claims in predefined patient-level or pharmacovigilance data.	future-grounding handoff only; queued items are not findings
V48_HO_025	future_grounding_queue	high	Bounded APC/HLA-II early treatment-response monitoring scalar	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_003	Validate with the frozen V42/V44 harness on a paired labeled DMF cohort; do not use label context as validation.	future-grounding handoff only; queued items are not findings
V48_HO_026	future_grounding_queue	low	V22 scalar is immune-tone bounded, not steroid/composition artifact	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_004	Use the V42/V44 confounder and batch diagnostics when real validation data arrive.	future-grounding handoff only; queued items are not findings
V48_HO_027	future_grounding_queue	low	Coupled APC remodeling architecture	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_005	Import specific CD74, MIF, HLA, and APC-axis external records only as segregated future-grounding context before comparing them to V26.	future-grounding handoff only; queued items are not findings
V48_HO_028	future_grounding_queue	low	T/B-readable early IFN/APC/STAT1 monitoring state	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_006	Ground only in paired response data with compartment-resolved or deconvolved readouts.	future-grounding handoff only; queued items are not findings
V48_HO_029	future_grounding_queue	low	Postpartum HLA-II/CD64 APC-arm imbalance	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_007	Acquire true postpartum MS immune trajectory data with relapse-window timing.	future-grounding handoff only; queued items are not findings
V48_HO_030	future_grounding_queue	high	ZMIZ1 opposite-direction MS/Crohn decoupling	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_008	Create a future-grounding task only after importing specific ZMIZ1 records with source snapshots and hashes.	future-grounding handoff only; queued items are not findings
V48_HO_031	future_grounding_queue	high	chr1 KIF21B/GPR25 locus resolves to real biology but hard target	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_009	Import specific GWAS Catalog associations only as future-grounding records before comparison.	future-grounding handoff only; queued items are not findings
V48_HO_032	future_grounding_queue	low	PTGER4 mixed shared/distinct signal closes naive transfer	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_010	Leave PTGER4 closed unless signal-specific external data are imported and grounded.	future-grounding handoff only; queued items are not findings
V48_HO_033	future_grounding_queue	low	No validated broad immune-state simulator from held data	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_011	Do not reopen simulator claims without a held-out perturbation dataset and frozen split.	future-grounding handoff only; queued items are not findings
V48_HO_034	future_grounding_queue	low	Coupled-axis successor rule does not beat scalar	knowledge_external/synthesis/FUTURE_GROUNDING_QUEUE_V48.md	V48_FG_012	Keep V27 negative-established unless a future external cohort is tested with the frozen scalar and any pre-locked successor under a preregistered comparison.	future-grounding handoff only; queued items are not findings
V48_HO_035	contradiction_surveillance	medium	decoupling_negative / IBD/MS transfer-specific literature or datasets	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	2 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_036	contradiction_surveillance	medium	decoupling_negative / locus/signal-specific genetics source	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_037	contradiction_surveillance	medium	decoupling_negative / pregnancy/postpartum comparator literature or datasets	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_038	contradiction_surveillance	medium	decoupling_negative / same-failure-mode source	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_039	contradiction_surveillance	medium	kills_closed / EBV-stratified immune-data source	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_040	contradiction_surveillance	medium	kills_closed / locus/signal-specific genetics source	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_041	contradiction_surveillance	medium	kills_closed / same-failure-mode source	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_042	contradiction_surveillance	medium	methodological / method/governance literature	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	2 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
V48_HO_043	contradiction_surveillance	medium	positive_supported / IBD/MS transfer-specific literature or datasets	knowledge_external/synthesis/CONTRADICTION_SURVEILLANCE_CHECKLIST_V48.md	1 planned rows	If a source is found, ingest it through V47 segregation first, then classify overlap before creating any contradiction row.	surveillance handoff only; tensions require source-specific overlap and future grounding
