workstream	probe	proposal_source	epistemic_class	grounded_outcome	artifact	artifact_sha256	artifact_verdict	interpretation_boundary
D	RFX5 replication boundary	agent	grounded-real-plus-synthetic-method	needs-data	analysis/v53_rfx5_replication_boundary/summary.json	2d66e14c3ebd5f46b5c442652349cb1ec38fd61947fbb6f6b1221177bc233c78	DESCRIPTIVE_SINGLE_CONTEXT_PATTERN_FAILS_CORRECTED_NULL_AND_REPLICATION_GATES	Single-context nominal signal fails corrected network gates.
D/E	Multi-lineage identifiability critique	Claude/Gemini+agent	model-proposal-grounded-method	supported-boundary	analysis/v53_identifiability_critique/summary.json	46ed14a29169237d421881979111201454730a201dec4bc8eef6823c47c077ae	BOUND_RETAINS_ZERO_IDENTIFIED_MODULE_EDGES_WORDING_TIGHTENED	Objections tightened wording; no verdict changed.
D	Orientation acquisition design	agent	synthetic-method-only	needs-data	analysis/v53_causal_orientation_design/summary.json	9802f20e3954ba89d237d61eb72fe950f0a1e1e636547b83ef4cf9f62ea8b2f6	DESIGN_IDENTIFIABLE_IN_PRINCIPLE_CURRENTLY_BLOCKED_ON_VALID_MODULE_INSTRUMENTS	Selective instruments and powered intervention cohorts are absent.
D	Cross-environment invariance feasibility	agent	grounded-schema-audit	needs-data	analysis/v53_invariance_feasibility_audit/summary.json	2153c248ab94656f165030c62ce95cedb3aa9474cdd544a26fc4496f57780ebf	NO_VALID_CROSS_ENVIRONMENT_CAUSAL_ORIENTATION_ROUTE_IN_HELD_DATA	Zero of five routes meet the harmonized environment contract.
D	Perturbation module de-overlap	agent	grounded-real-data	not-supported	analysis/v53_deoverlapped_module_sensitivity/summary.json	6ff149dcba1baccf9dceb8b90cb31f3d22a2c5b5f2e925aef9aaf35706b6aa7e	PERTURBATION_HLA_MIF_GLOBAL_ASSOCIATION_FAILS_STIMULUS_CONTROL_GLOBAL_STATUS_UNCHANGED	HLA/receptor edge fails the disjoint context-stratified gate.
D	Cell-state module de-overlap	agent	grounded-real-data	not-supported	analysis/v53_cell_state_deoverlap_sensitivity/summary.json	9f6d76a9439834d1cc12a82d9a062699e796b5767f64ef6074148dcfa140c34c	CELL_STATE_HLA_MIF_EDGE_FAILS_DISJOINT_READOUT_GATE_GLOBAL_STATUS_REQUIRES_REASSESSMENT	HLA/receptor edge collapses after globally unique scoring.
D	Treatment-response module de-overlap	agent	grounded-real-data	not-supported	analysis/v53_treatment_response_deoverlap_sensitivity/summary.json	603fc00b2dad35124571e329ae357ca7051a0a4ddb1ca16cc41fe5e529792236	TREATMENT_RESPONSE_HLA_MIF_EDGE_FAILS_DISJOINT_READOUT_GATE	HLA/receptor edge collapses after globally unique scoring.
D	Pharmacodynamic module de-overlap	agent	grounded-real-data	supported-within-layer	analysis/v53_pharmacodynamic_deoverlap_sensitivity/summary.json	c989291fb9d96f556aa53e6a5e742189c3335d5cdddf5f9f6687a696af679d6f	PHARMACODYNAMIC_HLA_MIF_EDGE_PERSISTS_WITH_DISJOINT_READOUTS	Disjoint rank edge persists in this layer only.
D	Pharmacodynamic portability stress	agent	grounded-real-data	not-supported	analysis/v53_pharmacodynamic_edge_robustness/summary.json	2d0bda145bfe7de09761f0abbe5bcbd42c7c376b7092be53776c03a6f171e077	PHARMACODYNAMIC_EDGE_NOT_PORTABLE_ACROSS_DATASET_SENSITIVITIES	Centered, cluster-bootstrap, and LODO tests reject a portable common effect.
D	Cross-disease summary lineage audit	agent	grounded-source-audit	supported-boundary	analysis/v53_cross_disease_summary_lineage_audit/summary.json	33b4a9dbc69e80f7953537db1a28a120380c4ec36625272583fe125593dcf665	CROSS_DISEASE_SUMMARY_IS_DESCRIPTIVE_DERIVED_ATLAS_NOT_FIFTH_INDEPENDENT_MODALITY	Derived matrix retired as an independent fifth modality.
D	Physical-dataset APC recurrence	agent	grounded-real-data	supported	analysis/v53_additional_atlas_disjoint_rescoring/summary.json	cf36dd46fd1aa07773ed0dda6c944ea68d9ab481a03b8653b9e0257ad06adb4e	BROAD_APC_RECURRENCE_SURVIVES_DISJOINT_PHYSICAL_DATASET_GATE	IFN/APC and CD44/CXCR4 each recur positively in 7/8 datasets; HLA does not.
D	Pharmacodynamic response semantics	agent	grounded-real-data	not-supported	analysis/v53_pharmacodynamic_context_decomposition/summary.json	e47780209d59c59962decdac3a1e16e1003c3fd0052e77fa34760651c64ef36b	PHARMACODYNAMIC_EDGE_NOT_RESPONSE_STRUCTURED_ACROSS_CONTEXT_TYPES	The surviving rank edge is not response-structured.
D	GSE111972 CD44/CXCR4 association	agent	grounded-real-data	supported-provisional	analysis/v53_ms_microglia_receptor_decoupling/summary.json	216beb85fba46888e6a42ef45cf5c754a4d544ed69e7abf270e80ef050f18888	MS_MICROGLIA_CD44_CXCR4_DECOUPLING_NOT_ESTABLISHED	State association passes; decoupling does not.
D	GSE111972 age/region robustness	agent	grounded-real-data	supported	analysis/v53_ms_microglia_age_region_robustness/summary.json	3683950c01afe893a29a1c8d48ea7cbc8d040b3d84af5978fa8ac7452eb87cdd	MS_MICROGLIA_CD44_CXCR4_ASSOCIATION_SURVIVES_AGE_REGION_INFLUENCE_GATE	Association survives age, region, and influence gates within cohort.
D	GSE111972 component specificity	agent	grounded-real-data	not-supported	analysis/v53_ms_microglia_component_specificity/summary.json	9bb7325fc63677add6c797ce36c4d9c2de9c9099753c2404df18fe5b6461b86e	CD44_CXCR4_ASSOCIATION_NOT_COMPONENT_SPECIFIC_AFTER_STRICT_GATE	Joint APC-state adjustment defeats receptor-specific interpretation.
F	CD44/CXCR4 prior-art audit	literature	external-unverifiable-context	low-novelty	knowledge_external/synthesis/V53_CD44_CXCR4_MS_MICROGLIA_PRIOR_ART.md	f71f62f1adcb653d5870faf5c51436ff3f4a5058d7231248c18f8f2325cccff2		Biology is low novelty; exact adjusted analysis is moderate novelty at most.
F	Frozen microglia replication specification	agent	grounded-method	ready	analysis/v53_ms_microglia_replication_spec/summary.json	003e808b04f128b7a5ddee01b6bb89335dba4ec8bab393e4a6792e92c4631887		Independent-cohort score, model, null, and interpretation are frozen.
D/F	Macnair frozen-score replication	agent	grounded-real-data	supported-quality-qualified	analysis/v53_ms_microglia_independent_cohort_scout/summary.json	4b40ea71bd3deee1c14fb0c705ad881e85d3e068be8399aac9b04c7faef65bae	REPLICATED_MS_MICROGLIAL_CD44_CXCR4_STATE_ASSOCIATION_WITH_MICROGLIA_DEPTH_QUALITY_QUALIFICATION	Both partitions pass the frozen primary; discovery is depth-sensitive.
D	Macnair lesion/stage localization	agent	grounded-real-data	not-supported-after-source-adjustment	analysis/v53_macnair_stage_lesion_heterogeneity/summary.json	93cfcea3a7bb46a8ad97c8cf3c732c2fbce0427f8250d4b0fb1361d71416b6cd	SOURCE_ADJUSTMENT_REMOVES_PRIOR_CROSS_PARTITION_CONTEXT_LOCALIZATION	No context or stage survives the source-adjusted cross-partition gate.
D	Microglia source-lineage audit	agent	grounded-source-audit	supported-boundary	analysis/v53_microglia_source_lineage_audit/summary.json	2f0fe9784dac5cc41b059aa3d65bc078def3f672c078811e28ab1d81b232fa76	NO_EXACT_TOKEN_OVERLAP_BUT_PERSON_LEVEL_INDEPENDENCE_NOT_FULLY_VERIFIABLE	Macnair is one package with two partitions; person-level independence is not provable.
D	Macnair source-family influence	agent	grounded-real-data	not-supported	analysis/v53_macnair_source_influence/summary.json	3a7749e5615d1df2591fcd987e292f5c0826a7774e320722cda8c75a5180f815	MACNAIR_STATE_ASSOCIATION_SOURCE_FAMILY_SENSITIVE	Discovery attenuates after brain-bank adjustment; validation remains robust.
D	Package-aware cross-cohort synthesis	agent	grounded-real-data	supported-quality-qualified	analysis/v53_microglia_cross_cohort_meta/summary.json	230ecd86f38628e99412820d3a8559280eef30193d1e4bd101aba22dd17d1d25	POSITIVE_CROSS_SOURCE_EFFECT_WITH_HETEROGENEITY_AND_LOW_SOURCE_FAMILY_COUNT	Positive effects are heterogeneous and limited to two package families.
D	GSE301908 low-control sensitivity	agent	grounded-real-data	not-supported	analysis/v53_gse301908_low_control_sensitivity/summary.json	085d4d91e26a9a9fdb32a07992151bf9352b507c540198a6eadc773b1198fa83	LOW_CONTROL_SENSITIVITY_NOT_SUPPORTED	Positive point estimate is unsupported with three controls and normalized-data-only input.
F	V22 interpretation boundary	agent	grounded-method	unchanged	analysis/v53_v22_interpretation_boundary/summary.json	26a0c08cd71ce691f835d421f694d279bbf9435e085f8abb3f02e095dfe29a68	V22_COMPUTATION_UNCHANGED_V53_ONLY_NARROWS_MECHANISTIC_INTERPRETATION	V53 changes no locked score, threshold, confounder list, or harness behavior.
