evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_03_microbiome_psoriasis	axis_03_microbiome	psoriasis	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC12029981/	Recent systematic review supports psoriasis gut dysbiosis literature, but evidence is mostly cross-sectional and less mechanistically tied to MS-like gut-brain or IBD-like mucosal inflammation.			literature evidence; no matrix p-value		literature_review	intermediate	Skin-gut axis is plausible, but longitudinal/causal microbial evidence remains thinner than IBD/T1D.	https://pmc.ncbi.nlm.nih.gov/articles/PMC12029981/
V8_axis_03_microbiome_rheumatoid_arthritis	axis_03_microbiome	rheumatoid arthritis	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC11007908/;https://www.mdpi.com/1422-0067/25/6/3386	RA has gut-joint microbiome evidence focused on Prevotella copri and oral/gut bacteria; this is microbial-immune but differs from the MS/IBD SCFA/barrier/mucin-degradation framing.			literature evidence; no matrix p-value		literature_review;mechanistic_animal	intermediate	RA microbiome evidence may be mechanistically real but points to gut-joint/Prevotella/oral pathogen routes rather than the MS gut-brain pattern.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11007908/;https://www.mdpi.com/1422-0067/25/6/3386
V8_axis_03_microbiome_systemic_lupus_erythematosus	axis_03_microbiome	systemic lupus erythematosus	gut microbiome	literature_or_public_cohort	https://www.nature.com/articles/s41584-023-01071-8	SLE microbiome literature includes gut dysbiosis and bacterial trigger/molecular mimicry themes, but this aligns more with systemic immune activation than with MS/IBD gut-barrier architecture.			literature evidence; no matrix p-value		literature_review	intermediate	SLE may be closer to MS on infectious-trigger/IFN axes than on microbiome axis.	https://www.nature.com/articles/s41584-023-01071-8
V8_axis_03_microbiome_type_1_diabetes_mellitus	axis_03_microbiome	type 1 diabetes mellitus	gut microbiome	literature_or_public_cohort	https://pmc.ncbi.nlm.nih.gov/articles/PMC6296767/;https://diabetesjournals.org/care/article/48/7/1125/158197/Unfolding-the-Mystery-of-Autoimmunity-The	TEDDY provides large longitudinal infant gut metagenomics in relation to islet autoimmunity and T1D, with functional evidence supporting protective SCFA-producing microbiota.			literature evidence; no matrix p-value		longitudinal	near	Near on longitudinal microbiome/SCFA/early-autoimmunity axis, not on target tissue or age-of-onset biology.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6296767/;https://diabetesjournals.org/care/article/48/7/1125/158197/Unfolding-the-Mystery-of-Autoimmunity-The
V8_axis_03_microbiome_ulcerative_colitis	axis_03_microbiome	ulcerative colitis	gut microbiome	literature_or_public_cohort	https://www.nature.com/articles/s41586-019-1237-9;analysis/v7_hyp_v7_001_specificity/REPORT.md	Same HMP2/iHMP IBD longitudinal multi-omics resource includes UC and captures functional dysbiosis during disease activity; V7 also found intestinal response IFN/APC downshift across IFX and VDZ in UC.			literature evidence; no matrix p-value		longitudinal;treatment_perturbation	near	Microbiome proximity is stronger for gut-barrier biology than for CNS lesion biology.	https://www.nature.com/articles/s41586-019-1237-9;analysis/v7_hyp_v7_001_specificity/REPORT.md
V8_axis_04_lipid_lysosomal_Crohn_disease_1	axis_04_lipid_lysosomal	Crohn disease	colon epithelial	single_cell_or_single_nucleus_h5ad	ibd_crohn_epithelial	delta=0.06556; hedges_g=1.522; support=trend	module=lipid_loader_repair; p=0.03256; fdr=0.1192; trend	0.032555821	axis-local FDR=0.11918741	case=6; control=6	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Crohn_disease_2	axis_04_lipid_lysosomal	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.1325; hedges_g=0.9274; support=positive_null	module=lysosomal_apc; p=0.1265; fdr=0.276; positive_null	0.12651038	axis-local FDR=0.27602264	case=6; control=6	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Graves_disease_1	axis_04_lipid_lysosomal	Graves disease	thyroid tissue spots	spatial_visium	GSE248205	delta=0.3662; hedges_g=1.308; support=positive_null	module=lysosomal_apc; p=0.1249; fdr=0.2683; positive_null	0.12490051	axis-local FDR=0.26830481	case=3; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Hashimoto_thyroiditis_1	axis_04_lipid_lysosomal	Hashimoto thyroiditis	thyroid tissue spots	spatial_visium	GSE248205	delta=0.4907; hedges_g=2.926; support=supportive	module=lysosomal_apc; p=0.02756; fdr=0.08881; supportive	0.027561406	axis-local FDR=0.088808974	case=3; control=2	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Sjogren_syndrome_1	axis_04_lipid_lysosomal	Sjogren syndrome	salivary gland APC	single_cell_or_single_nucleus_h5ad	sjogren_gland_apc	delta=-0.1294; hedges_g=-0.774; support=negative_trend	module=lipid_loader_repair; p=0.05542; fdr=0.1557; negative_trend	0.055418741	axis-local FDR=0.15567909	case=9; control=13	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_Sjogren_syndrome_2	axis_04_lipid_lysosomal	Sjogren syndrome	salivary gland epithelial	single_cell_or_single_nucleus_h5ad	sjogren_gland_epithelial	delta=-0.0166; hedges_g=-0.2024; support=null_or_negative	module=lipid_loader_repair; p=0.6037; fdr=0.6973; null_or_negative	0.6036991	axis-local FDR=0.69732088	case=11; control=14	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_celiac_disease_1	axis_04_lipid_lysosomal	celiac disease	myeloid_apc_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.1358; hedges_g=1.172; support=trend	module=lipid_loader_repair; p=0.08447; fdr=0.7809; trend	0.084466545	axis-local FDR=0.78093292	case=4; control=2	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_celiac_disease_2	axis_04_lipid_lysosomal	celiac disease	b_plasma_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.03091; hedges_g=0.8081; support=positive_null	module=lipid_loader_repair; p=0.1795; fdr=0.7809; positive_null	0.17952411	axis-local FDR=0.78093292	case=4; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_multiple_sclerosis_1	axis_04_lipid_lysosomal	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.4784; hedges_g=1.379; support=strong	module=lipid_loader_repair; p=0.005282; fdr=0.01916; strong	0.0052818132	axis-local FDR=0.019156967	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_multiple_sclerosis_2	axis_04_lipid_lysosomal	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.5131; hedges_g=0.947; support=supportive	module=lysosomal_apc; p=0.04134; fdr=0.09645; supportive	0.041336474	axis-local FDR=0.096451773	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_psoriasis_1	axis_04_lipid_lysosomal	psoriasis	skin keratinocyte	single_cell_or_single_nucleus_h5ad	psoriasis_keratinocyte	delta=0.2035; hedges_g=2.519; support=trend	module=lysosomal_apc; p=0.0555; fdr=0.1557; trend	0.055496712	axis-local FDR=0.15567909	case=3; control=3	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_psoriasis_2	axis_04_lipid_lysosomal	psoriasis	skin keratinocyte	single_cell_or_single_nucleus_h5ad	psoriasis_keratinocyte	delta=0.1616; hedges_g=1.154; support=positive_null	module=lipid_loader_repair; p=0.1767; fdr=0.3279; positive_null	0.17674909	axis-local FDR=0.32786143	case=3; control=3	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_1	axis_04_lipid_lysosomal	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=0.01256; hedges_g=0.2628; support=positive_null	module=lipid_loader_repair; p=0.4258; fdr=0.5514; positive_null	0.42576943	axis-local FDR=0.55139816	case=18; control=18	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_rheumatoid_arthritis_2	axis_04_lipid_lysosomal	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.008564; hedges_g=-0.06682; support=null_or_negative	module=lysosomal_apc; p=0.8388; fdr=0.8753; null_or_negative	0.83882706	axis-local FDR=0.8752978	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
