term	snippet
response	"t-type=""citation-string"">Bar-Or A, Fawaz L, Fan B, Darlington PJ, Rieger A, Ghorayeb C, et al. Abnormal B-cell cytokine responses a trigger of T-cell-mediated disease in MS? Ann Neurol. (2010) 67:452–61. doi: 10.1002/ana.21939, PMID: </named-conten"
response	"www.w3.org/1999/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=Ann Neurol&amp;title=Abnormal B-cell cytokine responses a trigger of T-cell-mediated disease in MS?&amp;author=A Bar-Or&amp;author=L Fawaz&amp;author=B Fan&amp;author=PJ Darl"
response	" content-type=""citation-string"">Abe J, Ueha S, Yoneyama H, Shono Y, Kurachi M, Goto A, et al. B cells regulate antibody responses through the medullary remodeling of inflamed lymph nodes. Int Immunol. (2012) 24:17–27. doi: 10.1093/intimm/dxr089, PM"
response	"w.w3.org/1999/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=Int Immunol&amp;title=B cells regulate antibody responses through the medullary remodeling of inflamed lymph nodes&amp;author=J Abe&amp;author=S Ueha&amp;author=H Yoneyama&amp;"
response	"itation-string"">Bar-Or A, Calkwood JC, Chognot C, Evershed J, Fox EJ, Herman A, et al. Effect of ocrelizumab on vaccine responses in patients with multiple sclerosis: the VELOCE study. Neurology. (2020) 95:e1999–2008. doi: 10.1212/WNL.0000000000010"
response	"org/1999/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=Neurology&amp;title=Effect of ocrelizumab on vaccine responses in patients with multiple sclerosis: the VELOCE study&amp;author=A Bar-Or&amp;author=JC Calkwood&amp;author=C Chognot&"
response	"on-string"">Apostolidis SA, Kakara M, Painter MM, Goel RR, Mathew D, Lenzi K, et al. Altered cellular and humoral immune responses following SARS-COV-2 mRNA vaccination in patients with multiple sclerosis on anti-CD20 therapy. Nat Med. (2021) 27:199"
response	"rg/1999/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=Nat Med&amp;title=Altered cellular and humoral immune responses following SARS-COV-2 mRNA vaccination in patients with multiple sclerosis on anti-CD20 therapy&amp;author=SA Apostolid"
response	C, Lord S, Chaudhary A, et al. Cutting edge: effect of disease-modifying therapies on SARS-CoV-2 vaccine-induced immune responses in multiple sclerosis patients. J Immunol. (2022) 208:1519–24. doi: 10.4049/jimmunol.2101142, PMID: </named-content><e
response	"f=""journal=J Immunol&amp;title=Cutting edge: effect of disease-modifying therapies on SARS-CoV-2 vaccine-induced immune responses in multiple sclerosis patients&amp;author=Y Yuzefpolskiy&amp;author=P Morawski&amp;author=M Fahning&amp;author=C Speak"
response	"string"">Gadani SP, Reyes-Mantilla M, Jank L, Harris S, Douglas M, Smith MD, et al. Discordant humoral and T cell immune responses to SARS-CoV-2 vaccination in people with multiple sclerosis on anti-CD20 therapy. EBioMedicine. (2021) 73:103636. doi:"
response	"9/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=EBioMedicine&amp;title=Discordant humoral and T cell immune responses to SARS-CoV-2 vaccination in people with multiple sclerosis on anti-CD20 therapy&amp;author=SP Gadani&amp;author=M Rey"
response	htman A, Zveik O, Levin N, Oiknine-Djian E, et al. Severe acute respiratory syndrome coronavirus 2 third vaccine immune response in multiple sclerosis patients treated with ocrelizumab. Ann Neurol. (2022) 91:796–800. doi: 10.1002/ana.26343, PMID: <
response	"-scholar"" xlink:href=""journal=Ann Neurol&amp;title=Severe acute respiratory syndrome coronavirus 2 third vaccine immune response in multiple sclerosis patients treated with ocrelizumab&amp;author=L Brill&amp;author=C Raposo&amp;author=A Rechtman&am"
relapse	" id=""sec6"" disp-level=""1""><title>Introduction</title><p>Anti-CD20 monoclonal antibodies potently reduce MRI lesions and relapses, and slow accumulation of disability in relapsing–remitting multiple sclerosis (RRMS) and primary progressive MS (PPMS"
EDSS	"f-type=""table"">Table 1</xref>). Stable MS was defined as no clinical attacks for &gt;2 months or progression of &gt;0.5 EDSS point in the past 6 months. The time since last exacerbation in the ocrelizumab group averaged 33.5 ± 13.3 months, base"
EDSS	"er"" valign=""top"" rowspan=""1"" colspan=""1"">2.00 ± 0.86</td></tr><tr><td align=""left"" valign=""top"" rowspan=""1"" colspan=""1"">EDSS (Mean ± SEM)</td><td align=""center"" valign=""top"" rowspan=""1"" colspan=""1"">NA</td><td align=""center"" valign=""top"" rowspan"
EDSS	"tr></tbody></table><table-wrap-foot><fn id=""_fn_p16""><p>A, East Asian; B, Black/African ancestry; BMI, Body mass index; EDSS, Extended disability scale score of Kurtzke; F, female; H, hispanic; IFN, interferon-β; n, number; NA, not applicable/a"
EDSS	dy, we found no informative differences in protein or gene expression (including Y-RNA) vs. sex ratio, vitamin D level, EDSS, disease duration, smoking, BMI, or between stable SPMS and RRMS patients. The latter two groups were combined for anal
stable	"c id=""sec3"" disp-level=""2""><title>Methods</title><p>Samples were collected from 10 healthy controls and from clinically stable relapsing–remitting MS – 10 untreated, 9 interferon-<italic>β</italic>-treated, and 15 ocrelizumab-treated patients wer"
stable	"ethods</title><sec id=""sec8"" disp-level=""2""><title>Subjects and clinical data</title><p>Subjects included 34 clinically stable MS: 15 ocrelizumab-treated, 9 interferon (IFN)-<italic>β</italic>-treated, and 10 therapy-naïve (No Rx). Patients were "
stable	"ve (No Rx). Patients were age-matched with 10 healthy controls (HC) (<xref rid=""tab1"" ref-type=""table"">Table 1</xref>). Stable MS was defined as no clinical attacks for &gt;2 months or progression of &gt;0.5 EDSS point in the past 6 months. The t"
stable	n or gene expression (including Y-RNA) vs. sex ratio, vitamin D level, EDSS, disease duration, smoking, BMI, or between stable SPMS and RRMS patients. The latter two groups were combined for analysis.</p><p>Time 0 blood was drawn at 8 AM, followe
stable	" id=""sec15"" disp-level=""2""><title>Total gene signatures in PBMC differ between pre- and post-ocrelizumab MS, clinically stable therapy-naïve and IFN-<italic>β</italic>-treated MS, and HC</title><p>At time 0, 2 months after washout of prior therap"
stable	" ref-type=""sec"">Supplementary Table S1</xref>, gene list). Gene expression at time 0 was slightly decreased compared to stable therapy-naïve and IFN-<italic>β</italic>-treated MS (<xref rid=""fig1"" ref-type=""fig"">Figures 1B</xref>,<xref rid=""fig1"""
stable	"ange in direction at 2 weeks and 6 months after ocrelizumab therapy (<xref rid=""fig6"" ref-type=""fig"">Figure 6B</xref>). Stable expression of lineage transcription factors <italic>Tbet/TBX21</italic> (Th1), <italic>RORα</italic> (Th17), and <itali"
stable	", <italic>RORα</italic> (Th17), and <italic>GATA3</italic> (Th2) also suggests that numbers of these T-cell subsets are stable during ocrelizumab treatment.</p></sec><sec id=""sec21"" disp-level=""2""><title>Ocrelizumab treatment upregulates expressi"
outcome	s of targets/biomarkers (with statistical correction) contrasts with large clinical trials which have only 2–3 clinical outcome measures. (5) PBMC were used instead of whole blood. This was intentional, as PBMC contain the most MS-relevant leukocy
outcome	a E, Vasilev G, Tumangelova-Yuzeir K, Ivanova I, Ivanova-Todorova E, Velikova T, et al. Interferon-gamma release assays outcomes in healthy subjects following BNT162b2 mRNA COVID-19 vaccination. Rheumatol Int. (2022) 42:449–56. doi: 10.1007/s00296
outcome	"/1999/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=Rheumatol Int&amp;title=Interferon-gamma release assays outcomes in healthy subjects following BNT162b2 mRNA COVID-19 vaccination&amp;author=E Kurteva&amp;author=G Vasilev&amp;author="
outcome	"ation-string"">Louapre C, Collongues N, Stankoff B, Giannesini C, Papeix C, Bensa C, et al. Clinical characteristics and outcomes in patients with coronavirus disease 2019 and multiple sclerosis. JAMA Neurol. (2020) 77:1079–88. doi: 10.1001/jamaneu"
outcome	"3.org/1999/xlink"" ext-link-type=""google-scholar"" xlink:href=""journal=JAMA Neurol&amp;title=Clinical characteristics and outcomes in patients with coronavirus disease 2019 and multiple sclerosis&amp;author=C Louapre&amp;author=N Collongues&amp;auth"
disability	"troduction</title><p>Anti-CD20 monoclonal antibodies potently reduce MRI lesions and relapses, and slow accumulation of disability in relapsing–remitting multiple sclerosis (RRMS) and primary progressive MS (PPMS) (<xref rid=""ref1"" ref-type=""bibr"">1<"
disability	"ble><table-wrap-foot><fn id=""_fn_p16""><p>A, East Asian; B, Black/African ancestry; BMI, Body mass index; EDSS, Extended disability scale score of Kurtzke; F, female; H, hispanic; IFN, interferon-β; n, number; NA, not applicable/available. Ocre, ocrel"
