analysis	summary_path	category	count_key	count	counting_note
v54_progression_negative_control_gate	analysis/v54_progression_negative_control_gate/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_nonlinear_diagnostic_gate	analysis/v54_progression_nonlinear_diagnostic_gate/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_outcome_semantic_checker	analysis/v54_progression_outcome_semantic_checker/summary.json	synthetic_gate_fixtures	n_fixtures	12	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_p1_analysis_release_gate	analysis/v54_progression_p1_analysis_release_gate/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_p1_intake_to_lock	analysis/v54_progression_p1_intake_to_lock/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_p2_composition_gate	analysis/v54_progression_p2_composition_gate/summary.json	synthetic_gate_fixtures	n_fixtures	9	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_p2_interaction_power	analysis/v54_progression_p2_interaction_power/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	288000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_p2_interaction_power	analysis/v54_progression_p2_interaction_power/summary.json	analysis_route_evaluations	n_route_evaluations	576000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_package_eligibility_validator	analysis/v54_progression_package_eligibility_validator/summary.json	synthetic_gate_fixtures	n_fixtures	14	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_power_label_noise	analysis/v54_progression_power_label_noise/summary.json	model_fit_synthetic_cohorts	new_simulated_cohorts	576000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_precision_receipt_router	analysis/v54_progression_precision_receipt_router/summary.json	synthetic_gate_fixtures	n_fixtures	11	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_reference_manifest	analysis/v54_progression_reference_manifest/summary.json	synthetic_gate_fixtures	n_synthetic_fixtures	2	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_repeated_score_reliability	analysis/v54_progression_repeated_score_reliability/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	216000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_result_interpretation_gate	analysis/v54_progression_result_interpretation_gate/summary.json	synthetic_gate_fixtures	n_fixtures	17	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_site_score_calibration_gate	analysis/v54_progression_site_score_calibration_gate/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_site_score_harmonization	analysis/v54_progression_site_score_harmonization/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	129600	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_site_score_harmonization	analysis/v54_progression_site_score_harmonization/summary.json	analysis_route_evaluations	n_route_evaluations	259200	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_treatment_switch_estimand	analysis/v54_progression_treatment_switch_estimand/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	72000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_treatment_switch_estimand	analysis/v54_progression_treatment_switch_estimand/summary.json	analysis_route_evaluations	n_estimand_route_evaluations	144000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_treatment_switch_gate	analysis/v54_progression_treatment_switch_gate/summary.json	synthetic_gate_fixtures	n_fixtures	10	Discrete software-behavior fixture; not a simulated cohort or biological observation.
v54_progression_visit_schedule_robustness	analysis/v54_progression_visit_schedule_robustness/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	172800	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_visit_schedule_robustness	analysis/v54_progression_visit_schedule_robustness/summary.json	analysis_route_evaluations	n_route_evaluations	691200	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progression_weaker_effect_power	analysis/v54_progression_weaker_effect_power/summary.json	model_fit_synthetic_cohorts	n_unique_simulated_cohorts	90000	Unique newly generated synthetic cohorts for this analysis; route reuse is excluded.
v54_progression_weaker_effect_power	analysis/v54_progression_weaker_effect_power/summary.json	analysis_route_evaluations	n_guarded_route_evaluations	90000	Repeated method/estimand analyses of generated cohorts; not additional unique cohorts.
v54_progressive_stage_modules	analysis/v54_progressive_stage_modules/summary.json	held_data_randomization_replicates	n_null_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
v54_progressive_stage_source_interaction	analysis/v54_progressive_stage_source_interaction/summary.json	held_data_randomization_replicates	null_replicates	300000	Permutation or donor-wild null draws on held data; not synthetic patient cohorts.
